x,U
-20,253.409106497
-19.98,251.889993724
-19.96,250.379719265
-19.94,248.878232503
-19.92,247.385483111
-19.9,245.901421045
-19.88,244.425996548
-19.86,242.959160145
-19.84,241.500862641
-19.82,240.051055123
-19.8,238.609688953
-19.78,237.176715772
-19.76,235.752087494
-19.74,234.335756309
-19.72,232.927674676
-19.7,231.527795325
-19.68,230.136071255
-19.66,228.752455734
-19.64,227.376902292
-19.62,226.009364726
-19.6,224.649797095
-19.58,223.298153718
-19.56,221.954389175
-19.54,220.618458305
-19.52,219.290316202
-19.5,217.969918216
-19.48,216.657219951
-19.46,215.352177263
-19.44,214.05474626
-19.42,212.764883299
-19.4,211.482544985
-19.38,210.20768817
-19.36,208.940269951
-19.34,207.68024767
-19.32,206.427578911
-19.3,205.182221498
-19.28,203.944133497
-19.26,202.713273211
-19.24,201.489599181
-19.22,200.273070184
-19.2,199.06364523
-19.18,197.861283564
-19.16,196.665944661
-19.14,195.477588229
-19.12,194.296174201
-19.1,193.121662743
-19.08,191.954014245
-19.06,190.793189322
-19.04,189.639148813
-19.02,188.491853781
-19,187.35126551
-18.98,186.217345504
-18.96,185.090055486
-18.94,183.969357398
-18.92,182.855213396
-18.9,181.747585854
-18.88,180.646437359
-18.86,179.551730711
-18.84,178.46342892
-18.82,177.38149521
-18.8,176.305893011
-18.78,175.236585963
-18.76,174.173537913
-18.74,173.116712912
-18.72,172.066075216
-18.7,171.021589288
-18.68,169.983219788
-18.66,168.95093158
-18.64,167.924689728
-18.62,166.904459494
-18.6,165.890206338
-18.58,164.881895918
-18.56,163.879494084
-18.54,162.882966885
-18.52,161.89228056
-18.5,160.907401541
-18.48,159.928296451
-18.46,158.954932103
-18.44,157.9872755
-18.42,157.025293832
-18.4,156.068954475
-18.38,155.118224993
-18.36,154.173073132
-18.34,153.233466824
-18.32,152.299374182
-18.3,151.370763501
-18.28,150.447603257
-18.26,149.529862105
-18.24,148.617508879
-18.22,147.71051259
-18.2,146.808842427
-18.18,145.912467751
-18.16,145.021358101
-18.14,144.135483188
-18.12,143.254812895
-18.1,142.379317279
-18.08,141.508966564
-18.06,140.643731146
-18.04,139.78358159
-18.02,138.928488626
-18,138.078423155
-17.98,137.233356239
-17.96,136.393259107
-17.94,135.558103154
-17.92,134.727859935
-17.9,133.902501168
-17.88,133.081998733
-17.86,132.266324668
-17.84,131.455451173
-17.82,130.649350605
-17.8,129.847995478
-17.78,129.051358465
-17.76,128.259412391
-17.74,127.47213024
-17.72,126.689485146
-17.7,125.9114504
-17.68,125.137999442
-17.66,124.369105865
-17.64,123.604743412
-17.62,122.844885976
-17.6,122.089507599
-17.58,121.33858247
-17.56,120.592084926
-17.54,119.84998945
-17.52,119.112270671
-17.5,118.378903362
-17.48,117.649862439
-17.46,116.925122963
-17.44,116.204660136
-17.42,115.488449302
-17.4,114.776465944
-17.38,114.068685687
-17.36,113.365084293
-17.34,112.665637665
-17.32,111.970321839
-17.3,111.279112992
-17.28,110.591987435
-17.26,109.908921614
-17.24,109.229892109
-17.22,108.554875634
-17.2,107.883849037
-17.18,107.216789297
-17.16,106.553673523
-17.14,105.894478956
-17.12,105.239182969
-17.1,104.587763059
-17.08,103.940196855
-17.06,103.296462113
-17.04,102.656536716
-17.02,102.020398673
-17,101.388026117
-16.98,100.759397309
-16.96,100.13449063
-16.94,99.5132845881
-16.92,98.8957578119
-16.9,98.2818890525
-16.88,97.6716571822
-16.86,97.065041194
-16.84,96.4620202008
-16.82,95.8625734344
-16.8,95.2666802455
-16.78,94.6743201025
-16.76,94.0854725909
-16.74,93.5001174129
-16.72,92.9182343864
-16.7,92.3398034447
-16.68,91.7648046355
-16.66,91.1932181204
-16.64,90.6250241744
-16.62,90.0602031849
-16.6,89.4987356515
-16.58,88.9406021849
-16.56,88.3857835067
-16.54,87.8342604486
-16.52,87.2860139515
-16.5,86.7410250654
-16.48,86.1992749485
-16.46,85.6607448663
-16.44,85.1254161917
-16.42,84.5932704037
-16.4,84.0642890872
-16.38,83.5384539323
-16.36,83.0157467335
-16.34,82.4961493896
-16.32,81.9796439025
-16.3,81.466212377
-16.28,80.9558370202
-16.26,80.4485001409
-16.24,79.9441841488
-16.22,79.4428715541
-16.2,78.9445449671
-16.18,78.4491870974
-16.16,77.9567807533
-16.14,77.4673088413
-16.12,76.9807543658
-16.1,76.4971004281
-16.08,76.0163302262
-16.06,75.5384270541
-16.04,75.0633743012
-16.02,74.591155452
-16,74.1217540851
-15.98,73.6551538734
-15.96,73.1913385827
-15.94,72.7302920718
-15.92,72.2719982918
-15.9,71.8164412854
-15.88,71.3636051867
-15.86,70.9134742204
-15.84,70.4660327014
-15.82,70.0212650343
-15.8,69.5791557129
-15.78,69.1396893196
-15.76,68.702850525
-15.74,68.2686240874
-15.72,67.8369948521
-15.7,67.4079477513
-15.68,66.9814678032
-15.66,66.5575401118
-15.64,66.1361498662
-15.62,65.7172823402
-15.6,65.300922892
-15.58,64.8870569634
-15.56,64.4756700796
-15.54,64.0667478484
-15.52,63.6602759602
-15.5,63.256240187
-15.48,62.8546263825
-15.46,62.4554204811
-15.44,62.0586084978
-15.42,61.6641765275
-15.4,61.2721107449
-15.38,60.8823974037
-15.36,60.495022836
-15.34,60.1099734527
-15.32,59.7272357419
-15.3,59.3467962693
-15.28,58.9686416776
-15.26,58.5927586858
-15.24,58.2191340889
-15.22,57.8477547576
-15.2,57.4786076377
-15.18,57.1116797497
-15.16,56.7469581885
-15.14,56.3844301229
-15.12,56.024082795
-15.1,55.6659035202
-15.08,55.3098796864
-15.06,54.9559987536
-15.04,54.6042482538
-15.02,54.2546157904
-15,53.9070890377
-14.98,53.5616557406
-14.96,53.2183037143
-14.94,52.8770208438
-14.92,52.5377950832
-14.9,52.2006144561
-14.88,51.8654670542
-14.86,51.5323410378
-14.84,51.2012246349
-14.82,50.8721061409
-14.8,50.5449739184
-14.78,50.2198163965
-14.76,49.8966220707
-14.74,49.5753795025
-14.72,49.2560773189
-14.7,48.9387042119
-14.68,48.6232489387
-14.66,48.3097003205
-14.64,47.9980472429
-14.62,47.6882786551
-14.6,47.3803835697
-14.58,47.0743510621
-14.56,46.7701702705
-14.54,46.4678303954
-14.52,46.1673206991
-14.5,45.8686305055
-14.48,45.5717491999
-14.46,45.2766662281
-14.44,44.9833710968
-14.42,44.6918533726
-14.4,44.4021026822
-14.38,44.1141087114
-14.36,43.8278612057
-14.34,43.5433499689
-14.32,43.2605648636
-14.3,42.9794958105
-14.28,42.700132788
-14.26,42.4224658322
-14.24,42.1464850361
-14.22,41.8721805499
-14.2,41.5995425799
-14.18,41.328561389
-14.16,41.0592272957
-14.14,40.7915306741
