method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.000010,1e-05,0.101,4,6.661338e-16,9.193706e-16,8.452424e-31
taylor,50001,0.500010,1e-05,0.031,4,2.535749e-13,1.524059e-12,2.322757e-24
taylor,100001,1.000010,1e-05,0.034,4,3.239631e-13,4.599414e-12,2.115460e-23
taylor,150001,1.500010,1e-05,0.030,4,4.214407e-13,2.619230e-12,6.860364e-24
taylor,200001,2.000010,1e-05,0.030,4,4.964917e-13,4.045630e-12,1.636712e-23
taylor,250001,2.500010,1e-05,0.030,4,5.113687e-13,7.374403e-12,5.438181e-23
taylor,300001,3.000010,1e-05,0.031,4,5.047074e-13,1.098266e-11,1.206187e-22
taylor,350001,3.500010,1e-05,0.030,4,4.614087e-13,1.466436e-11,2.150435e-22
taylor,400001,4.000010,1e-05,0.031,4,3.386180e-13,1.834996e-11,3.367209e-22
taylor,450001,4.500010,1e-05,0.031,4,3.250733e-13,4.767166e-12,2.272587e-23
taylor,500001,5.000010,1e-05,0.030,4,4.163336e-13,2.572310e-11,6.616779e-22
taylor,550001,5.500010,1e-05,0.030,4,5.238032e-13,4.754531e-11,2.260557e-21
taylor,600001,6.000010,1e-05,0.031,4,6.854517e-13,6.928709e-11,4.800701e-21
taylor,650001,6.500010,1e-05,0.030,4,6.856737e-13,9.098579e-11,8.278414e-21
taylor,700001,7.000010,1e-05,0.031,4,6.976641e-13,1.126750e-10,1.269566e-20
taylor,750001,7.500010,1e-05,0.030,4,7.644996e-13,1.344405e-10,1.807424e-20
taylor,800001,8.000010,1e-05,0.032,4,8.066880e-13,1.561648e-10,2.438743e-20
taylor,850001,8.500010,1e-05,0.030,4,6.867840e-13,1.777645e-10,3.160021e-20
taylor,900001,9.000010,1e-05,0.045,4,8.806289e-13,1.995952e-10,3.983824e-20
taylor,950001,9.500010,1e-05,0.056,4,5.655476e-13,2.215895e-10,4.910190e-20
taylor,1000001,10.000010,1e-05,0.030,4,5.169198e-13,2.439105e-10,5.949236e-20
taylor,1050001,10.500010,1e-05,0.030,4,5.111467e-13,2.665439e-10,7.104564e-20
taylor,1100001,11.000010,1e-05,0.030,4,5.455636e-13,2.892728e-10,8.367878e-20
taylor,1150001,11.500010,1e-05,0.030,4,6.257217e-13,3.118937e-10,9.727766e-20
taylor,1200001,12.000010,1e-05,0.034,4,5.824230e-13,3.340533e-10,1.115916e-19
taylor,1250001,12.500010,1e-05,0.031,4,5.533352e-13,3.558594e-10,1.266359e-19
taylor,1300001,13.000010,1e-05,0.032,4,5.149214e-13,3.775522e-10,1.425457e-19
taylor,1350001,13.500010,1e-05,0.030,4,6.508127e-13,3.991818e-10,1.593461e-19
taylor,1400001,14.000010,1e-05,0.031,4,6.266099e-13,4.208038e-10,1.770758e-19
taylor,1450001,14.500010,1e-05,0.050,4,5.648815e-13,4.425605e-10,1.958598e-19
taylor,1500001,15.000010,1e-05,0.030,4,5.853096e-13,4.643798e-10,2.156486e-19
taylor,1550001,15.500010,1e-05,0.030,4,6.563639e-13,4.862310e-10,2.364206e-19
taylor,1600001,16.000010,1e-05,0.036,4,7.427392e-13,5.081127e-10,2.581785e-19
taylor,1650001,16.500010,1e-05,0.036,4,7.356338e-13,5.298983e-10,2.807922e-19
taylor,1700001,17.000010,1e-05,0.030,4,7.485124e-13,5.516170e-10,3.042813e-19
taylor,1750001,17.500010,1e-05,0.041,4,7.771561e-13,5.733574e-10,3.287387e-19
taylor,1800001,18.000010,1e-05,0.031,4,7.993606e-13,5.950594e-10,3.540957e-19
taylor,1850001,18.500010,1e-05,0.047,4,7.500667e-13,6.167519e-10,3.803829e-19
taylor,1900001,19.000010,1e-05,0.051,4,8.004708e-13,6.384025e-10,4.075577e-19
taylor,1950001,19.500010,1e-05,0.030,4,1.006750e-12,6.603151e-10,4.360161e-19
taylor,2000001,20.000010,1e-05,0.030,4,1.024292e-12,6.823698e-10,4.656285e-19
taylor,2050001,20.500010,1e-05,0.030,4,8.983925e-13,7.045975e-10,4.964576e-19
taylor,2100001,21.000010,1e-05,0.030,4,1.276979e-12,7.271963e-10,5.288144e-19
taylor,2150001,21.500010,1e-05,0.030,4,1.335820e-12,7.498968e-10,5.623452e-19
taylor,2200001,22.000010,1e-05,0.030,4,1.406875e-12,7.725472e-10,5.968292e-19
taylor,2250001,22.500010,1e-05,0.030,4,1.587397e-12,7.947795e-10,6.316744e-19
taylor,2300001,23.000010,1e-05,0.030,4,1.651568e-12,8.166355e-10,6.668935e-19
taylor,2350001,23.500010,1e-05,0.030,4,1.688871e-12,8.383119e-10,7.027668e-19
taylor,2400001,24.000010,1e-05,0.030,4,1.619593e-12,8.598963e-10,7.394216e-19
taylor,2450001,24.500010,1e-05,0.030,4,1.575629e-12,8.815506e-10,7.771314e-19
taylor,2500001,25.000010,1e-05,0.031,4,1.599831e-12,9.032940e-10,8.159401e-19
taylor,2550001,25.500010,1e-05,0.055,4,1.654232e-12,9.251302e-10,8.558659e-19
taylor,2600001,26.000010,1e-05,0.034,4,1.645573e-12,9.470053e-10,8.968191e-19
taylor,2650001,26.500010,1e-05,0.034,4,1.542322e-12,9.688417e-10,9.386543e-19
taylor,2700001,27.000010,1e-05,0.040,4,1.508793e-12,9.906139e-10,9.813160e-19
taylor,2750001,27.500010,1e-05,0.032,4,1.486367e-12,1.012371e-09,1.024896e-18
taylor,2800001,28.000010,1e-05,0.030,4,1.494360e-12,1.034139e-09,1.069443e-18
taylor,2850001,28.500010,1e-05,0.029,4,1.460609e-12,1.055905e-09,1.114935e-18
taylor,2900001,29.000010,1e-05,0.031,4,1.483702e-12,1.077629e-09,1.161285e-18
taylor,2950001,29.500010,1e-05,0.029,4,1.580958e-12,1.099366e-09,1.208605e-18
taylor,3000001,30.000010,1e-05,0.029,4,1.418643e-12,1.121122e-09,1.256914e-18
taylor,3050001,30.500010,1e-05,0.032,4,1.370015e-12,1.142985e-09,1.306416e-18
taylor,3100001,31.000010,1e-05,0.033,4,1.297407e-12,1.165052e-09,1.357347e-18
taylor,3150001,31.500010,1e-05,0.031,4,1.456391e-12,1.187522e-09,1.410207e-18
taylor,3200001,32.000010,1e-05,0.030,4,1.394884e-12,1.210240e-09,1.464680e-18
taylor,3250001,32.500010,1e-05,0.054,4,1.189937e-12,1.029330e-09,1.059520e-18
taylor,3300001,33.000010,1e-05,0.033,4,1.106004e-12,8.480652e-10,7.192145e-19
taylor,3350001,33.500010,1e-05,0.030,4,1.138423e-12,6.663663e-10,4.440440e-19
taylor,3400001,34.000010,1e-05,0.030,4,1.246558e-12,4.845335e-10,2.347727e-19
taylor,3450001,34.500010,1e-05,0.030,4,1.395772e-12,3.027009e-10,9.162786e-20
taylor,3500001,35.000010,1e-05,0.030,4,1.356693e-12,1.212562e-10,1.470306e-20
