method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel,K_used,bn_ratio
cheb,1,0.001000,0.001,0.435,17,3.375078e-14,2.402631e-14,5.772634e-28,18,5.217169e-13
cheb,1001,1.001000,0.001,0.198,17,3.381384e-11,2.111519e-11,4.458512e-22,18,5.217169e-13
cheb,2001,2.001000,0.001,0.190,17,6.759349e-11,4.231762e-11,1.790781e-21,18,5.217169e-13
cheb,3001,3.001000,0.001,0.207,17,1.013718e-10,6.351045e-11,4.033577e-21,18,5.217169e-13
cheb,4001,4.001000,0.001,0.182,17,1.351480e-10,8.467697e-11,7.170190e-21,18,5.217169e-13
cheb,5001,5.001000,0.001,0.181,17,1.689257e-10,1.057456e-10,1.118214e-20,18,5.217169e-13
cheb,6001,6.001000,0.001,0.190,17,2.027059e-10,1.267689e-10,1.607035e-20,18,5.217169e-13
cheb,7001,7.001000,0.001,0.186,17,2.364843e-10,1.477337e-10,2.182525e-20,18,5.217169e-13
cheb,8001,8.001000,0.001,0.188,17,2.702640e-10,1.685797e-10,2.841911e-20,18,5.217169e-13
cheb,9001,9.001000,0.001,0.187,17,3.040403e-10,1.893645e-10,3.585891e-20,18,5.217169e-13
cheb,10000,10.000000,0.001,0.192,17,3.377855e-10,2.099825e-10,4.409266e-20,18,5.217169e-13
