method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel,K_used,bn_ratio
cheb,1,0.000100,0.0001,0.404,9,3.552714e-15,3.040663e-15,9.245633e-30,10,6.155772e-14
cheb,501,0.050100,0.0001,0.133,9,1.152411e-12,5.898217e-13,3.478896e-25,10,6.155772e-14
cheb,1001,0.100100,0.0001,0.133,9,2.304601e-12,1.164216e-12,1.355398e-24,10,6.155772e-14
cheb,1501,0.150100,0.0001,0.118,9,3.454348e-12,1.742031e-12,3.034673e-24,10,6.155772e-14
cheb,2001,0.200100,0.0001,0.132,9,4.604539e-12,2.317634e-12,5.371426e-24,10,6.155772e-14
cheb,2501,0.250100,0.0001,0.123,9,5.755174e-12,2.896955e-12,8.392347e-24,10,6.155772e-14
cheb,3001,0.300100,0.0001,0.183,9,6.903367e-12,3.474252e-12,1.207043e-23,10,6.155772e-14
cheb,3501,0.350100,0.0001,0.129,9,8.055112e-12,4.051659e-12,1.641594e-23,10,6.155772e-14
cheb,4001,0.400100,0.0001,0.123,9,9.207302e-12,4.630114e-12,2.143796e-23,10,6.155772e-14
cheb,4501,0.450100,0.0001,0.256,9,1.035660e-11,5.208001e-12,2.712328e-23,10,6.155772e-14
cheb,5001,0.500100,0.0001,0.133,9,1.150835e-11,5.786731e-12,3.348626e-23,10,6.155772e-14
cheb,5501,0.550100,0.0001,0.222,9,1.266010e-11,6.365840e-12,4.052392e-23,10,6.155772e-14
cheb,6001,0.600100,0.0001,0.138,9,1.380918e-11,6.942721e-12,4.820138e-23,10,6.155772e-14
cheb,6501,0.650100,0.0001,0.234,9,1.495915e-11,7.520692e-12,5.656081e-23,10,6.155772e-14
cheb,7001,0.700100,0.0001,0.139,9,1.611244e-11,8.099691e-12,6.560499e-23,10,6.155772e-14
cheb,7501,0.750100,0.0001,0.117,9,1.726042e-11,8.677280e-12,7.529518e-23,10,6.155772e-14
cheb,8001,0.800100,0.0001,0.127,9,1.841327e-11,9.258387e-12,8.571772e-23,10,6.155772e-14
cheb,8501,0.850100,0.0001,0.134,9,1.956590e-11,9.836931e-12,9.676521e-23,10,6.155772e-14
cheb,9001,0.900100,0.0001,0.123,9,2.071432e-11,1.041528e-11,1.084781e-22,10,6.155772e-14
cheb,9501,0.950100,0.0001,0.129,9,2.186562e-11,1.099315e-11,1.208493e-22,10,6.155772e-14
cheb,10001,1.000100,0.0001,0.123,9,2.301559e-11,1.157307e-11,1.339359e-22,10,6.155772e-14
cheb,10501,1.050100,0.0001,0.128,9,2.416667e-11,1.215119e-11,1.476514e-22,10,6.155772e-14
cheb,11001,1.100100,0.0001,0.128,9,2.531686e-11,1.273102e-11,1.620789e-22,10,6.155772e-14
cheb,11501,1.150100,0.0001,0.128,9,2.646838e-11,1.330916e-11,1.771336e-22,10,6.155772e-14
cheb,12001,1.200100,0.0001,0.122,9,2.761791e-11,1.388903e-11,1.929052e-22,10,6.155772e-14
cheb,12501,1.250100,0.0001,0.122,9,2.876943e-11,1.447048e-11,2.093949e-22,10,6.155772e-14
cheb,13001,1.300100,0.0001,0.138,9,2.992251e-11,1.504812e-11,2.264458e-22,10,6.155772e-14
cheb,13501,1.350100,0.0001,0.110,9,3.107314e-11,1.562877e-11,2.442584e-22,10,6.155772e-14
cheb,14001,1.400100,0.0001,0.132,9,3.222311e-11,1.620700e-11,2.626670e-22,10,6.155772e-14
cheb,14501,1.450100,0.0001,0.209,9,3.337397e-11,1.678814e-11,2.818417e-22,10,6.155772e-14
cheb,15001,1.500100,0.0001,0.272,9,3.452238e-11,1.736689e-11,3.016090e-22,10,6.155772e-14
cheb,15501,1.550100,0.0001,0.129,9,3.567457e-11,1.794656e-11,3.220789e-22,10,6.155772e-14
cheb,16001,1.600100,0.0001,0.129,9,3.682543e-11,1.852670e-11,3.432384e-22,10,6.155772e-14
cheb,16501,1.650100,0.0001,0.128,9,3.797584e-11,1.910591e-11,3.650360e-22,10,6.155772e-14
cheb,17001,1.700100,0.0001,0.128,9,3.912715e-11,1.968497e-11,3.874979e-22,10,6.155772e-14
cheb,17501,1.750100,0.0001,0.175,9,4.027600e-11,2.026683e-11,4.107444e-22,10,6.155772e-14
cheb,18001,1.800100,0.0001,0.242,9,4.142486e-11,2.084644e-11,4.345741e-22,10,6.155772e-14
cheb,18501,1.850100,0.0001,0.123,9,4.257994e-11,2.142676e-11,4.591061e-22,10,6.155772e-14
cheb,19001,1.900100,0.0001,0.146,9,4.372813e-11,2.200834e-11,4.843670e-22,10,6.155772e-14
cheb,19501,1.950100,0.0001,0.128,9,4.487721e-11,2.258802e-11,5.102186e-22,10,6.155772e-14
cheb,20001,2.000100,0.0001,0.138,9,4.602807e-11,2.316927e-11,5.368149e-22,10,6.155772e-14
cheb,20501,2.050100,0.0001,0.128,9,4.717893e-11,2.374660e-11,5.639012e-22,10,6.155772e-14
cheb,21001,2.100100,0.0001,0.134,9,4.832890e-11,2.432275e-11,5.915963e-22,10,6.155772e-14
cheb,21501,2.150100,0.0001,0.218,9,4.947887e-11,2.490162e-11,6.200905e-22,10,6.155772e-14
cheb,22001,2.200100,0.0001,0.151,9,5.062972e-11,2.547950e-11,6.492052e-22,10,6.155772e-14
cheb,22501,2.250100,0.0001,0.123,9,5.177925e-11,2.605502e-11,6.788639e-22,10,6.155772e-14
cheb,23001,2.300100,0.0001,0.128,9,5.293144e-11,2.663474e-11,7.094095e-22,10,6.155772e-14
cheb,23501,2.350100,0.0001,0.123,9,5.408118e-11,2.721315e-11,7.405553e-22,10,6.155772e-14
cheb,24001,2.400100,0.0001,0.164,9,5.523426e-11,2.779187e-11,7.723880e-22,10,6.155772e-14
cheb,24501,2.450100,0.0001,0.309,9,5.638112e-11,2.837089e-11,8.049074e-22,10,6.155772e-14
cheb,25001,2.500100,0.0001,0.204,9,5.753287e-11,2.894873e-11,8.380291e-22,10,6.155772e-14
cheb,25501,2.550100,0.0001,0.156,9,5.868239e-11,2.952831e-11,8.719212e-22,10,6.155772e-14
cheb,26001,2.600100,0.0001,0.128,9,5.983192e-11,3.010598e-11,9.063703e-22,10,6.155772e-14
cheb,26501,2.650100,0.0001,0.151,9,6.098411e-11,3.068592e-11,9.416256e-22,10,6.155772e-14
cheb,27001,2.700100,0.0001,0.225,9,6.213408e-11,3.126359e-11,9.774123e-22,10,6.155772e-14
cheb,27501,2.750100,0.0001,0.244,9,6.328316e-11,3.184333e-11,1.013998e-21,10,6.155772e-14
cheb,28001,2.800100,0.0001,0.141,9,6.443313e-11,3.242207e-11,1.051190e-21,10,6.155772e-14
cheb,28501,2.850100,0.0001,0.134,9,6.558376e-11,3.300159e-11,1.089105e-21,10,6.155772e-14
cheb,29001,2.900100,0.0001,0.215,9,6.673839e-11,3.357982e-11,1.127604e-21,10,6.155772e-14
cheb,29501,2.950100,0.0001,0.133,9,6.788592e-11,3.415945e-11,1.166868e-21,10,6.155772e-14
cheb,30001,3.000100,0.0001,0.234,9,6.903700e-11,3.473996e-11,1.206865e-21,10,6.155772e-14
