method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
rk4,1,0.000010,1e-05,0.124,4,9.800000e-01,3.925253e-16,3.081523e-33
rk4,1001,0.010010,1e-05,0.042,4,9.800000e-01,5.224542e-14,5.459168e-29
rk4,2001,0.020010,1e-05,0.043,4,9.800000e-01,8.269118e-14,1.367566e-28
rk4,3001,0.030010,1e-05,0.042,4,9.800000e-01,1.088004e-13,2.367504e-28
rk4,4001,0.040010,1e-05,0.041,4,9.800000e-01,1.321984e-13,3.495285e-28
rk4,5001,0.050010,1e-05,0.049,4,9.800000e-01,1.561007e-13,4.873489e-28
rk4,6001,0.060010,1e-05,0.057,4,9.800000e-01,1.778401e-13,6.325418e-28
rk4,7001,0.070010,1e-05,0.046,4,9.800000e-01,1.959883e-13,7.682282e-28
rk4,8001,0.080010,1e-05,0.045,4,9.800000e-01,2.144017e-13,9.193621e-28
rk4,9001,0.090010,1e-05,0.045,4,9.800000e-01,2.333475e-13,1.089021e-27
rk4,10001,0.100010,1e-05,0.046,4,9.800000e-01,2.532250e-13,1.282458e-27
rk4,11001,0.110010,1e-05,0.045,4,9.800000e-01,2.731691e-13,1.492427e-27
rk4,12001,0.120010,1e-05,0.044,4,9.800000e-01,2.941301e-13,1.730250e-27
rk4,13001,0.130010,1e-05,0.044,4,9.800000e-01,3.155268e-13,1.991143e-27
rk4,14001,0.140010,1e-05,0.042,4,9.800000e-01,3.364238e-13,2.263620e-27
rk4,15001,0.150010,1e-05,0.042,4,9.800000e-01,3.573994e-13,2.554687e-27
rk4,16001,0.160010,1e-05,0.045,4,9.800000e-01,3.781839e-13,2.860461e-27
rk4,17001,0.170010,1e-05,0.073,4,9.800000e-01,3.986168e-13,3.177907e-27
rk4,18001,0.180010,1e-05,0.076,4,9.800000e-01,4.181952e-13,3.497744e-27
rk4,19001,0.190010,1e-05,0.088,4,9.800000e-01,4.384112e-13,3.844088e-27
