method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.000100,0.0001,0.062,4,2.220446e-16,2.481112e-15,6.155915e-30
taylor,1001,0.100100,0.0001,0.030,4,2.775558e-15,2.240182e-13,5.018417e-26
taylor,2001,0.200100,0.0001,0.030,4,5.218048e-15,4.081040e-13,1.665489e-25
taylor,3001,0.300100,0.0001,0.030,4,8.548717e-15,5.919397e-13,3.503926e-25
taylor,4001,0.400100,0.0001,0.030,4,9.547918e-15,7.675703e-13,5.891641e-25
taylor,5001,0.500100,0.0001,0.030,4,1.076916e-14,9.252691e-13,8.561230e-25
taylor,6001,0.600100,0.0001,0.063,4,1.498801e-14,1.068183e-12,1.141015e-24
taylor,7001,0.700100,0.0001,0.030,4,1.787459e-14,1.199631e-12,1.439114e-24
taylor,8001,0.800100,0.0001,0.054,4,2.309264e-14,1.321407e-12,1.746117e-24
taylor,9001,0.900100,0.0001,0.031,4,2.597922e-14,1.434886e-12,2.058898e-24
taylor,10001,1.000100,0.0001,0.034,4,3.019807e-14,1.541609e-12,2.376559e-24
taylor,11001,1.100100,0.0001,0.030,4,3.452794e-14,1.642284e-12,2.697096e-24
taylor,12001,1.200100,0.0001,0.030,4,3.541611e-14,1.736633e-12,3.015895e-24
taylor,13001,1.300100,0.0001,0.030,4,3.774758e-14,1.825548e-12,3.332624e-24
taylor,14001,1.400100,0.0001,0.030,4,4.363176e-14,1.910101e-12,3.648484e-24
taylor,15001,1.500100,0.0001,0.030,4,4.574119e-14,1.989237e-12,3.957064e-24
taylor,16001,1.600100,0.0001,0.051,4,4.884981e-14,2.065258e-12,4.265289e-24
taylor,17001,1.700100,0.0001,0.033,4,4.996004e-14,2.136612e-12,4.565109e-24
taylor,18001,1.800100,0.0001,0.034,4,5.506706e-14,2.204209e-12,4.858537e-24
taylor,19001,1.900100,0.0001,0.033,4,5.584422e-14,2.268177e-12,5.144629e-24
taylor,20001,2.000100,0.0001,0.034,4,5.795364e-14,2.330035e-12,5.429062e-24
taylor,21001,2.100100,0.0001,0.056,4,5.950795e-14,2.351078e-12,5.527567e-24
taylor,22001,2.200100,0.0001,0.058,4,5.839773e-14,2.373976e-12,5.635763e-24
taylor,23001,2.300100,0.0001,0.063,4,6.206147e-14,2.397076e-12,5.745971e-24
taylor,24001,2.400100,0.0001,0.035,4,6.439294e-14,2.423366e-12,5.872703e-24
taylor,25001,2.500100,0.0001,0.036,4,6.417089e-14,2.448637e-12,5.995825e-24
taylor,26001,2.600100,0.0001,0.036,4,6.816769e-14,2.474332e-12,6.122319e-24
taylor,27001,2.700100,0.0001,0.034,4,6.894485e-14,2.500425e-12,6.252127e-24
taylor,28001,2.800100,0.0001,0.035,4,7.160939e-14,2.523925e-12,6.370199e-24
taylor,29001,2.900100,0.0001,0.033,4,7.716050e-14,2.546763e-12,6.486003e-24
taylor,30001,3.000100,0.0001,0.033,4,7.460699e-14,2.567456e-12,6.591831e-24
taylor,31001,3.100100,0.0001,0.033,4,7.716050e-14,2.589603e-12,6.706044e-24
taylor,32001,3.200100,0.0001,0.033,4,7.827072e-14,2.611953e-12,6.822297e-24
taylor,33001,3.300100,0.0001,0.035,4,8.082424e-14,2.634973e-12,6.943083e-24
taylor,34001,3.400100,0.0001,0.033,4,8.371082e-14,2.662746e-12,7.090216e-24
taylor,35001,3.500100,0.0001,0.076,4,8.382184e-14,2.692627e-12,7.250242e-24
taylor,36001,3.600100,0.0001,0.032,4,8.593126e-14,2.726763e-12,7.435239e-24
taylor,37001,3.700100,0.0001,0.031,4,8.681944e-14,2.762590e-12,7.631902e-24
taylor,38001,3.800100,0.0001,0.031,4,8.737455e-14,2.801870e-12,7.850476e-24
taylor,39001,3.900100,0.0001,0.031,4,8.693046e-14,2.844725e-12,8.092458e-24
taylor,40001,4.000100,0.0001,0.031,4,9.092727e-14,2.888695e-12,8.344561e-24
taylor,41001,4.100100,0.0001,0.051,4,9.037215e-14,2.894191e-12,8.376341e-24
taylor,42001,4.200100,0.0001,0.030,4,9.181544e-14,2.904205e-12,8.434408e-24
taylor,43001,4.300100,0.0001,0.030,4,9.348078e-14,2.918308e-12,8.516523e-24
taylor,44001,4.400100,0.0001,0.030,4,9.636736e-14,2.937369e-12,8.628138e-24
taylor,45001,4.500100,0.0001,0.030,4,9.559020e-14,2.958338e-12,8.751765e-24
taylor,46001,4.600100,0.0001,0.035,4,9.603429e-14,2.987970e-12,8.927964e-24
taylor,47001,4.700100,0.0001,0.029,4,9.436896e-14,3.019461e-12,9.117144e-24
taylor,48001,4.800100,0.0001,0.029,4,9.314771e-14,3.054829e-12,9.331981e-24
taylor,49001,4.900100,0.0001,0.030,4,9.436896e-14,3.098303e-12,9.599479e-24
taylor,50001,5.000100,0.0001,0.030,4,9.281464e-14,3.143473e-12,9.881422e-24
taylor,51001,5.100100,0.0001,0.030,4,9.203749e-14,3.197320e-12,1.022285e-23
taylor,52001,5.200100,0.0001,0.030,4,9.037215e-14,3.252112e-12,1.057623e-23
taylor,53001,5.300100,0.0001,0.030,4,9.203749e-14,3.313303e-12,1.097798e-23
taylor,54001,5.400100,0.0001,0.030,4,9.059420e-14,3.375889e-12,1.139663e-23
taylor,55001,5.500100,0.0001,0.030,4,9.348078e-14,3.441115e-12,1.184127e-23
taylor,56001,5.600100,0.0001,0.034,4,9.237056e-14,3.511492e-12,1.233058e-23
taylor,57001,5.700100,0.0001,0.037,4,9.503509e-14,3.583086e-12,1.283850e-23
taylor,58001,5.800100,0.0001,0.030,4,9.903189e-14,3.659892e-12,1.339481e-23
taylor,59001,5.900100,0.0001,0.030,4,9.747758e-14,3.740804e-12,1.399361e-23
taylor,60001,6.000100,0.0001,0.051,4,1.022515e-13,3.825076e-12,1.463120e-23
taylor,61001,6.100100,0.0001,0.030,4,1.042499e-13,3.914060e-12,1.531987e-23
taylor,62001,6.200100,0.0001,0.030,4,1.062483e-13,4.002941e-12,1.602353e-23
taylor,63001,6.300100,0.0001,0.030,4,1.083578e-13,4.093000e-12,1.675265e-23
