x,psi_n0,psi_n1,psi_n2,psi_n3,psi_n4,psi_n5,psi_n6,psi_n7,psi_n8,psi_n9
-19.98,1.96796768831e-15,4.8080449333e-17,-8.11949646595e-16,8.29289758942e-16,1.50886924988e-15,1.26410601203e-17,-1.27148271357e-16,-1.13672669162e-15,1.14336938785e-16,-6.5536755354e-16
-19.96,9.81578606302e-16,-4.64327459011e-16,-9.22054082691e-16,-1.28333399191e-15,3.03011047788e-16,1.51495589385e-15,-1.03281628321e-15,-1.58405973181e-16,4.82669100469e-16,1.62713140893e-15
-19.94,1.86662066221e-15,-3.64701107869e-17,-9.81434250092e-16,-1.28235230901e-16,1.17222077215e-15,1.28820872823e-15,-1.68559917412e-15,-8.93542879455e-16,1.40037907136e-15,-7.76376041757e-17
-19.92,-1.26580962746e-16,-1.6943798727e-15,1.41704702121e-15,3.04561104909e-15,-1.35649911764e-15,-1.97866446451e-16,1.09190924397e-15,8.44224539764e-16,8.37364643111e-16,8.39597215825e-16
-19.9,-2.75905568658e-16,-2.13010821295e-16,-1.79302392426e-15,8.8130419186e-16,-3.03585427565e-16,-1.05057860427e-15,6.03072528287e-16,-9.01372182159e-16,-3.67716017782e-16,1.00990763693e-16
-19.88,8.82480978865e-16,6.83202142329e-16,-2.43846200853e-16,-9.37606680419e-16,-6.74515108385e-16,1.08647849567e-15,2.04347797384e-15,1.87546804004e-15,2.05444326989e-15,4.45364910369e-17
-19.86,-1.21120249097e-15,-5.16318434419e-16,-5.52973962564e-16,-1.01512778365e-15,4.24460779814e-16,6.49701306388e-16,1.41017413038e-16,5.79904708211e-16,3.92956808243e-16,2.04949298301e-16
-19.84,-2.1668215465e-15,-1.54354290342e-16,7.32354592415e-18,-1.69731562718e-15,-3.8915290892e-16,-2.18795302748e-15,2.85640411962e-16,-6.94773804009e-16,-4.69936518837e-17,-2.27175313469e-15
-19.82,-1.38622974051e-16,2.72426009443e-18,1.09702707266e-15,5.52768704638e-16,-2.74765758259e-18,2.31717105905e-17,6.72114993443e-16,8.74603313773e-16,-9.61441805807e-16,-4.33686619464e-17
-19.8,-9.87024506135e-16,3.02191155665e-17,9.45019936675e-16,-1.86352096318e-17,1.02135844258e-15,-1.63230107172e-15,7.71301437167e-17,8.58787579175e-16,-1.45701955677e-15,-1.86583797928e-17
-19.78,-4.82823494926e-16,3.94813158784e-17,-6.52546472647e-16,6.86994063288e-16,-8.79256868602e-16,-2.12783308902e-16,1.00078285859e-16,-5.84816861405e-16,-1.56730507841e-15,7.27397093158e-17
-19.76,1.4039362497e-15,-2.71158104424e-16,9.97703144126e-16,1.95128817434e-15,-6.67857382929e-16,-1.66103849699e-15,3.78434707681e-16,-5.5354184229e-16,1.40456989267e-16,1.09166895562e-15
-19.74,-1.80908467939e-15,4.02955355564e-16,-2.52063682729e-16,-2.01844472677e-15,-2.23230593138e-15,9.60179579026e-17,-9.92445644128e-16,1.18534490249e-15,-1.7398414105e-15,2.66620684067e-16
-19.72,1.3063287069e-16,-3.1930035265e-16,1.68523801897e-15,-2.64832452886e-15,-6.7787431378e-16,-1.86173244488e-15,-8.98582830066e-16,-4.86882020356e-16,-7.75632752472e-16,-9.00198498444e-16
-19.7,-3.52632103021e-16,-3.94834192984e-16,8.38033233951e-16,-7.51042497997e-16,1.96587251489e-15,-1.72546972967e-15,-7.11906411774e-16,-5.90333907776e-16,-2.23204436265e-16,2.39573812494e-16
-19.68,-3.09298190045e-16,-1.42369741862e-16,-1.8973115036e-17,-9.74007705822e-18,-6.59882647274e-16,-1.1321351824e-16,6.7812233328e-16,3.21384004691e-16,-1.4771516762e-15,3.50916887197e-16
-19.66,-1.03855607479e-15,8.07032962601e-16,1.67096820624e-16,-5.7962950157e-16,-1.55455651193e-15,-7.31721033538e-16,-7.27138965559e-16,-2.81180053901e-16,-2.50068046729e-15,3.33263425472e-16
-19.64,-1.22133165183e-15,9.02032028279e-17,-9.37829355731e-16,2.33379427571e-16,-8.82552553812e-16,-1.31228690216e-15,-8.79586533471e-16,-2.26277889199e-15,-1.05094041047e-15,-1.77063995322e-15
-19.62,7.07252691124e-16,-2.85071077097e-16,-5.38857394353e-16,-4.71382267869e-16,-1.45936305857e-16,-2.11597585653e-16,-6.43504178515e-16,3.19534304187e-16,-1.78349009708e-17,-2.70770456793e-16
-19.6,-1.02271593606e-16,-5.76107508869e-16,-1.02358539309e-15,4.75796326952e-16,2.59038319098e-15,2.24772001529e-15,2.08258496451e-16,-8.29318247335e-16,1.49600672257e-15,1.52141966078e-16
-19.58,1.93746934388e-15,-1.62741353909e-15,-6.96106708139e-16,3.1368522296e-16,-2.91310396978e-16,1.35802612568e-15,5.36786191353e-16,-2.86345846859e-16,1.15004978229e-15,4.7696176991e-16
-19.56,1.35818018996e-15,-2.07048955201e-15,-2.52550765627e-15,-1.37436105435e-15,-1.07299849089e-15,-3.34597605852e-16,1.30497616704e-15,-5.3005869732e-16,-6.18115996104e-16,1.68109896214e-16
-19.54,2.23981091976e-16,3.59448992861e-16,7.01866120258e-16,8.91628768359e-16,1.73796998625e-15,2.79043074321e-16,9.54326272612e-17,2.79642476969e-16,-1.77572236242e-16,5.17199303165e-16
-19.52,1.37516955539e-15,-5.33363390142e-16,-1.45400226938e-15,-2.40468289993e-15,-1.11773776005e-15,-3.94327157463e-17,-6.48798765155e-16,1.18426134235e-15,-9.54398484781e-16,-4.8794272893e-16
-19.5,3.56171844102e-16,-1.73942729934e-15,-1.86449295386e-15,-8.97376570709e-17,8.15362718629e-16,5.80109656137e-16,8.78441330668e-16,1.02834257432e-15,-5.75859859868e-16,3.00030439846e-16
-19.48,-2.46488968881e-16,-1.64615366892e-15,-1.8533384984e-15,-6.78748553968e-16,1.74692908428e-16,-9.54256795652e-16,-1.78484134059e-15,2.97472274264e-16,-3.01735175937e-16,7.22777201464e-16
-19.46,-8.19488738047e-16,7.6375689099e-16,-5.00154944257e-16,7.460212882e-16,7.21293267651e-16,-1.02699530373e-15,6.64293987341e-16,-9.38180155372e-16,7.29167334912e-16,9.98258065769e-16
-19.44,2.1932125306e-16,2.83825697536e-16,1.07077856549e-15,-1.36614100418e-15,2.16039209825e-16,-3.89575522073e-16,-1.01176938062e-15,-8.03265041995e-16,-7.22478238827e-16,4.00843353167e-16
-19.42,1.97014168979e-15,6.1673268742e-16,1.56116737725e-16,-3.12745991294e-16,2.53862916096e-16,1.25868933297e-15,1.74020075466e-16,-5.00583487241e-16,-1.85413371737e-15,8.06086948976e-16
