method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel,K_used,bn_ratio
cheb,1,0.100000,0.1,6.857,154,4.662937e-15,4.179237e-13,1.746603e-25,155,5.310031e-12
cheb,2,0.200000,0.1,4.979,154,7.660539e-15,8.332667e-13,6.943333e-25,155,5.310031e-12
cheb,3,0.300000,0.1,4.996,154,1.254552e-14,1.248758e-12,1.559397e-24,155,5.310031e-12
cheb,4,0.400000,0.1,4.914,154,1.654232e-14,1.664009e-12,2.768927e-24,155,5.310031e-12
cheb,5,0.500000,0.1,2.881,154,2.176037e-14,2.077610e-12,4.316464e-24,155,5.310031e-12
cheb,6,0.600000,0.1,2.752,154,2.409184e-14,2.491805e-12,6.209093e-24,155,5.310031e-12
cheb,7,0.700000,0.1,5.069,154,2.919887e-14,2.911045e-12,8.474184e-24,155,5.310031e-12
cheb,8,0.800000,0.1,4.945,154,3.386180e-14,3.336618e-12,1.113302e-23,155,5.310031e-12
cheb,9,0.900000,0.1,4.386,154,3.941292e-14,3.769956e-12,1.421257e-23,155,5.310031e-12
cheb,10,1.000000,0.1,4.832,154,4.130030e-14,4.201361e-12,1.765143e-23,155,5.310031e-12
