method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel,K_used,bn_ratio
cheb,1,0.000010,1e-05,0.460,5,1.554312e-15,1.190819e-15,1.418051e-30,6,8.820595e-14
cheb,1001,0.010010,1e-05,0.133,5,3.916867e-13,1.982140e-13,3.928880e-26,6,8.820595e-14
cheb,2001,0.020010,1e-05,0.101,5,7.833734e-13,3.959668e-13,1.567897e-25,6,8.820595e-14
cheb,3001,0.030010,1e-05,0.093,5,1.174616e-12,5.929477e-13,3.515870e-25,6,8.820595e-14
cheb,4001,0.040010,1e-05,0.090,5,1.565859e-12,7.864910e-13,6.185680e-25,6,8.820595e-14
cheb,5001,0.050010,1e-05,0.054,5,1.957989e-12,1.001159e-12,1.002318e-24,6,8.820595e-14
cheb,6001,0.060010,1e-05,0.092,5,2.349232e-12,1.227309e-12,1.506287e-24,6,8.820595e-14
cheb,7001,0.070010,1e-05,0.094,5,2.740919e-12,1.392708e-12,1.939634e-24,6,8.820595e-14
cheb,8001,0.080010,1e-05,0.415,5,3.132161e-12,1.568326e-12,2.459646e-24,6,8.820595e-14
cheb,9001,0.090010,1e-05,0.090,5,3.521405e-12,1.770339e-12,3.134099e-24,6,8.820595e-14
cheb,10001,0.100010,1e-05,0.092,5,3.911316e-12,1.991791e-12,3.967230e-24,6,8.820595e-14
cheb,11001,0.110010,1e-05,0.102,5,4.303669e-12,2.225784e-12,4.954112e-24,6,8.820595e-14
cheb,12001,0.120010,1e-05,0.092,5,4.692691e-12,2.469466e-12,6.098264e-24,6,8.820595e-14
cheb,13001,0.130010,1e-05,0.092,5,5.081935e-12,2.617115e-12,6.849293e-24,6,8.820595e-14
cheb,14001,0.140010,1e-05,0.091,5,5.471623e-12,2.742514e-12,7.521383e-24,6,8.820595e-14
cheb,15001,0.150010,1e-05,0.088,5,5.863310e-12,2.960553e-12,8.764872e-24,6,8.820595e-14
cheb,16001,0.160010,1e-05,0.091,5,6.253664e-12,3.253757e-12,1.058694e-23,6,8.820595e-14
cheb,17001,0.170010,1e-05,0.092,5,6.645129e-12,3.602350e-12,1.297693e-23,6,8.820595e-14
cheb,18001,0.180010,1e-05,0.090,5,7.037704e-12,3.993742e-12,1.594998e-23,6,8.820595e-14
cheb,19001,0.190010,1e-05,0.091,5,7.428280e-12,4.414533e-12,1.948810e-23,6,8.820595e-14
cheb,20001,0.200010,1e-05,0.097,5,7.819745e-12,4.857923e-12,2.359942e-23,6,8.820595e-14
cheb,21001,0.210010,1e-05,0.099,5,8.209433e-12,5.317037e-12,2.827088e-23,6,8.820595e-14
cheb,22001,0.220010,1e-05,0.156,5,8.596679e-12,5.788729e-12,3.350938e-23,6,8.820595e-14
cheb,23001,0.230010,1e-05,0.075,5,8.989254e-12,6.270716e-12,3.932188e-23,6,8.820595e-14
cheb,24001,0.240010,1e-05,0.153,5,9.382051e-12,6.760464e-12,4.570387e-23,6,8.820595e-14
cheb,25001,0.250010,1e-05,0.143,5,9.771517e-12,7.255550e-12,5.264300e-23,6,8.820595e-14
cheb,26001,0.260010,1e-05,0.150,5,1.016298e-11,7.756106e-12,6.015719e-23,6,8.820595e-14
cheb,27001,0.270010,1e-05,0.153,5,1.055134e-11,8.259755e-12,6.822356e-23,6,8.820595e-14
cheb,28001,0.280010,1e-05,0.153,5,1.094547e-11,8.767481e-12,7.686872e-23,6,8.820595e-14
cheb,29001,0.290010,1e-05,0.150,5,1.133804e-11,9.277521e-12,8.607240e-23,6,8.820595e-14
cheb,30001,0.300010,1e-05,0.150,5,1.172773e-11,9.789829e-12,9.584075e-23,6,8.820595e-14
cheb,31001,0.310010,1e-05,0.151,5,1.211675e-11,1.030339e-11,1.061598e-22,6,8.820595e-14
cheb,32001,0.320010,1e-05,0.173,5,1.250600e-11,1.081932e-11,1.170578e-22,6,8.820595e-14
cheb,33001,0.330010,1e-05,0.162,5,1.289591e-11,1.133617e-11,1.285088e-22,6,8.820595e-14
cheb,34001,0.340010,1e-05,0.152,5,1.328981e-11,1.185470e-11,1.405339e-22,6,8.820595e-14
cheb,35001,0.350010,1e-05,0.146,5,1.368128e-11,1.237473e-11,1.531339e-22,6,8.820595e-14
cheb,36001,0.360010,1e-05,0.160,5,1.407097e-11,1.289499e-11,1.662807e-22,6,8.820595e-14
cheb,37001,0.370010,1e-05,0.173,5,1.446265e-11,1.341517e-11,1.799668e-22,6,8.820595e-14
cheb,38001,0.380010,1e-05,0.154,5,1.485412e-11,1.393591e-11,1.942096e-22,6,8.820595e-14
cheb,39001,0.390010,1e-05,0.147,5,1.524469e-11,1.445751e-11,2.090195e-22,6,8.820595e-14
cheb,40001,0.400010,1e-05,0.152,5,1.563460e-11,1.497845e-11,2.243541e-22,6,8.820595e-14
cheb,41001,0.410010,1e-05,0.166,5,1.602674e-11,1.550063e-11,2.402697e-22,6,8.820595e-14
cheb,42001,0.420010,1e-05,0.158,5,1.641820e-11,1.602337e-11,2.567484e-22,6,8.820595e-14
cheb,43001,0.430010,1e-05,0.154,5,1.681077e-11,1.654674e-11,2.737946e-22,6,8.820595e-14
cheb,44001,0.440010,1e-05,0.162,5,1.720135e-11,1.706904e-11,2.913521e-22,6,8.820595e-14
cheb,45001,0.450010,1e-05,0.173,5,1.759237e-11,1.759197e-11,3.094775e-22,6,8.820595e-14
cheb,46001,0.460010,1e-05,0.159,5,1.798095e-11,1.811438e-11,3.281308e-22,6,8.820595e-14
cheb,47001,0.470010,1e-05,0.178,5,1.837175e-11,1.863845e-11,3.473916e-22,6,8.820595e-14
cheb,48001,0.480010,1e-05,0.173,5,1.876721e-11,1.916331e-11,3.672323e-22,6,8.820595e-14
cheb,49001,0.490010,1e-05,0.130,5,1.916001e-11,1.968802e-11,3.876180e-22,6,8.820595e-14
cheb,50001,0.500010,1e-05,0.151,5,1.954925e-11,2.021189e-11,4.085205e-22,6,8.820595e-14
cheb,51001,0.510010,1e-05,0.152,5,1.994183e-11,1.833790e-11,3.362788e-22,6,8.820595e-14
cheb,52001,0.520010,1e-05,0.093,5,2.033218e-11,1.657525e-11,2.747389e-22,6,8.820595e-14
cheb,53001,0.530010,1e-05,0.159,5,2.072365e-11,1.496310e-11,2.238945e-22,6,8.820595e-14
cheb,54001,0.540010,1e-05,0.151,5,2.111489e-11,1.355273e-11,1.836764e-22,6,8.820595e-14
cheb,55001,0.550010,1e-05,0.152,5,2.150458e-11,1.241536e-11,1.541411e-22,6,8.820595e-14
cheb,56001,0.560010,1e-05,0.086,5,2.189759e-11,1.163124e-11,1.352858e-22,6,8.820595e-14
cheb,57001,0.570010,1e-05,0.157,5,2.228462e-11,1.127163e-11,1.270497e-22,6,8.820595e-14
cheb,58001,0.580010,1e-05,0.149,5,2.267475e-11,1.137710e-11,1.294384e-22,6,8.820595e-14
cheb,59001,0.590010,1e-05,0.147,5,2.306599e-11,1.193542e-11,1.424542e-22,6,8.820595e-14
cheb,60001,0.600010,1e-05,0.133,5,2.345590e-11,1.288765e-11,1.660915e-22,6,8.820595e-14
cheb,61001,0.610010,1e-05,0.153,5,2.385070e-11,1.415431e-11,2.003446e-22,6,8.820595e-14
cheb,62001,0.620010,1e-05,0.082,5,2.424105e-11,1.565773e-11,2.451644e-22,6,8.820595e-14
cheb,63001,0.630010,1e-05,0.145,5,2.463163e-11,1.733718e-11,3.005778e-22,6,8.820595e-14
cheb,64001,0.640010,1e-05,0.082,5,2.502354e-11,1.914570e-11,3.665577e-22,6,8.820595e-14
cheb,65001,0.650010,1e-05,0.153,5,2.541256e-11,2.105124e-11,4.431547e-22,6,8.820595e-14
cheb,66001,0.660010,1e-05,0.180,5,2.580247e-11,2.302755e-11,5.302682e-22,6,8.820595e-14
cheb,67001,0.670010,1e-05,0.145,5,2.619527e-11,2.506058e-11,6.280325e-22,6,8.820595e-14
cheb,68001,0.680010,1e-05,0.149,5,2.658496e-11,2.713578e-11,7.363503e-22,6,8.820595e-14
cheb,69001,0.690010,1e-05,0.148,5,2.697886e-11,2.924493e-11,8.552660e-22,6,8.820595e-14
cheb,70001,0.700010,1e-05,0.158,5,2.736833e-11,3.138051e-11,9.847367e-22,6,8.820595e-14
cheb,71001,0.710010,1e-05,0.167,5,2.775802e-11,3.353956e-11,1.124902e-21,6,8.820595e-14
cheb,72001,0.720010,1e-05,0.158,5,2.814815e-11,3.571650e-11,1.275668e-21,6,8.820595e-14
cheb,73001,0.730010,1e-05,0.180,5,2.854028e-11,3.790855e-11,1.437058e-21,6,8.820595e-14
cheb,74001,0.740010,1e-05,0.157,5,2.893352e-11,4.011286e-11,1.609042e-21,6,8.820595e-14
cheb,75001,0.750010,1e-05,0.156,5,2.932121e-11,4.232751e-11,1.791618e-21,6,8.820595e-14
cheb,76001,0.760010,1e-05,0.081,5,2.971112e-11,4.455339e-11,1.985005e-21,6,8.820595e-14
cheb,77001,0.770010,1e-05,0.081,5,3.010636e-11,4.678677e-11,2.189002e-21,6,8.820595e-14
cheb,78001,0.780010,1e-05,0.149,5,3.049716e-11,4.902702e-11,2.403649e-21,6,8.820595e-14
cheb,79001,0.790010,1e-05,0.132,5,3.088418e-11,5.127462e-11,2.629087e-21,6,8.820595e-14
cheb,80001,0.800010,1e-05,0.081,5,3.127654e-11,5.352644e-11,2.865080e-21,6,8.820595e-14
cheb,81001,0.810010,1e-05,0.081,5,3.166556e-11,5.578317e-11,3.111763e-21,6,8.820595e-14
cheb,82001,0.820010,1e-05,0.082,5,3.205725e-11,5.804516e-11,3.369241e-21,6,8.820595e-14
cheb,83001,0.830010,1e-05,0.152,5,3.244538e-11,6.031049e-11,3.637355e-21,6,8.820595e-14
cheb,84001,0.840010,1e-05,0.160,5,3.283973e-11,6.257908e-11,3.916141e-21,6,8.820595e-14
cheb,85001,0.850010,1e-05,0.081,5,3.323053e-11,6.485141e-11,4.205706e-21,6,8.820595e-14
cheb,86001,0.860010,1e-05,0.155,5,3.362155e-11,6.712620e-11,4.505927e-21,6,8.820595e-14
cheb,87001,0.870010,1e-05,0.153,5,3.401213e-11,6.940259e-11,4.816719e-21,6,8.820595e-14
cheb,88001,0.880010,1e-05,0.165,5,3.440159e-11,7.168138e-11,5.138220e-21,6,8.820595e-14
cheb,89001,0.890010,1e-05,0.088,5,3.479261e-11,7.396219e-11,5.470405e-21,6,8.820595e-14
cheb,90001,0.900010,1e-05,0.148,5,3.518252e-11,7.624571e-11,5.813408e-21,6,8.820595e-14
cheb,91001,0.910010,1e-05,0.148,5,3.557266e-11,7.852928e-11,6.166848e-21,6,8.820595e-14
cheb,92001,0.920010,1e-05,0.082,5,3.596434e-11,8.081604e-11,6.531232e-21,6,8.820595e-14
cheb,93001,0.930010,1e-05,0.081,5,3.635470e-11,8.310400e-11,6.906275e-21,6,8.820595e-14
cheb,94001,0.940010,1e-05,0.122,5,3.674483e-11,8.539293e-11,7.291952e-21,6,8.820595e-14
cheb,95001,0.950010,1e-05,0.082,5,3.713607e-11,8.768290e-11,7.688290e-21,6,8.820595e-14
cheb,96001,0.960010,1e-05,0.077,5,3.752931e-11,8.997430e-11,8.095375e-21,6,8.820595e-14
cheb,97001,0.970010,1e-05,0.078,5,3.791700e-11,9.226667e-11,8.513138e-21,6,8.820595e-14
cheb,98001,0.980010,1e-05,0.160,5,3.831002e-11,9.455980e-11,8.941556e-21,6,8.820595e-14
cheb,99001,0.990010,1e-05,0.127,5,3.870038e-11,9.685445e-11,9.380785e-21,6,8.820595e-14
cheb,100000,1.000000,1e-05,0.214,5,3.909140e-11,9.914647e-11,9.830022e-21,6,8.820595e-14
