method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel,K_used,bn_ratio
cheb,1,0.000100,0.0001,0.385,8,5.551115e-15,1.079288e-14,1.164862e-28,9,2.998134e-12
cheb,1501,0.150100,0.0001,0.269,8,6.426637e-12,1.590499e-11,2.529688e-22,9,2.998134e-12
cheb,3001,0.300100,0.0001,0.267,8,1.285194e-11,3.098763e-11,9.602331e-22,9,2.998134e-12
cheb,4501,0.450100,0.0001,0.287,8,1.927347e-11,4.607821e-11,2.123201e-21,9,2.998134e-12
cheb,6001,0.600100,0.0001,0.249,8,2.569966e-11,6.106478e-11,3.728908e-21,9,2.998134e-12
cheb,7501,0.750100,0.0001,0.252,8,3.212031e-11,7.597821e-11,5.772688e-21,9,2.998134e-12
cheb,9001,0.900100,0.0001,0.243,8,3.854361e-11,9.087184e-11,8.257692e-21,9,2.998134e-12
cheb,10501,1.050100,0.0001,0.231,8,4.496914e-11,1.057254e-10,1.117785e-20,9,2.998134e-12
cheb,12001,1.200100,0.0001,0.262,8,5.138956e-11,1.206760e-10,1.456269e-20,9,2.998134e-12
cheb,13501,1.350100,0.0001,0.260,8,5.781398e-11,1.355715e-10,1.837963e-20,9,2.998134e-12
cheb,15001,1.500100,0.0001,0.248,8,6.423484e-11,1.504040e-10,2.262137e-20,9,2.998134e-12
cheb,16501,1.650100,0.0001,0.135,8,7.065815e-11,1.652394e-10,2.730407e-20,9,2.998134e-12
cheb,18001,1.800100,0.0001,0.255,8,7.708145e-11,1.801198e-10,3.244313e-20,9,2.998134e-12
cheb,19501,1.950100,0.0001,0.134,8,8.350520e-11,1.950858e-10,3.805847e-20,9,2.998134e-12
cheb,21001,2.100100,0.0001,0.327,8,8.992829e-11,2.202907e-10,4.852800e-20,9,2.998134e-12
cheb,22501,2.250100,0.0001,0.328,8,9.635026e-11,2.506677e-10,6.283430e-20,9,2.998134e-12
cheb,24001,2.400100,0.0001,0.246,8,1.027720e-10,2.810619e-10,7.899579e-20,9,2.998134e-12
cheb,25501,2.550100,0.0001,0.249,8,1.091951e-10,3.115553e-10,9.706672e-20,9,2.998134e-12
cheb,27001,2.700100,0.0001,0.270,8,1.156191e-10,3.421546e-10,1.170697e-19,9,2.998134e-12
cheb,28501,2.850100,0.0001,0.249,8,1.220417e-10,3.728196e-10,1.389944e-19,9,2.998134e-12
cheb,30001,3.000100,0.0001,0.240,8,1.284668e-10,4.035206e-10,1.628289e-19,9,2.998134e-12
cheb,31501,3.150100,0.0001,0.273,8,1.348888e-10,4.342564e-10,1.885786e-19,9,2.998134e-12
cheb,33001,3.300100,0.0001,0.252,8,1.413123e-10,4.650659e-10,2.162863e-19,9,2.998134e-12
cheb,34501,3.450100,0.0001,0.263,8,1.477332e-10,4.959364e-10,2.459529e-19,9,2.998134e-12
cheb,36001,3.600100,0.0001,0.129,8,1.541576e-10,5.268911e-10,2.776142e-19,9,2.998134e-12
cheb,37501,3.750100,0.0001,0.298,8,1.605793e-10,5.578912e-10,3.112426e-19,9,2.998134e-12
cheb,39001,3.900100,0.0001,0.135,8,1.670029e-10,5.889194e-10,3.468261e-19,9,2.998134e-12
cheb,40501,4.050100,0.0001,0.239,8,1.734268e-10,6.091574e-10,3.710728e-19,9,2.998134e-12
cheb,42001,4.200100,0.0001,0.129,8,1.798497e-10,6.079603e-10,3.696157e-19,9,2.998134e-12
cheb,43501,4.350100,0.0001,0.245,8,1.862721e-10,6.067842e-10,3.681870e-19,9,2.998134e-12
cheb,45001,4.500100,0.0001,0.128,8,1.926950e-10,6.056511e-10,3.668133e-19,9,2.998134e-12
cheb,46501,4.650100,0.0001,0.234,8,1.991185e-10,6.045819e-10,3.655193e-19,9,2.998134e-12
cheb,48001,4.800100,0.0001,0.220,8,2.055425e-10,6.035718e-10,3.642990e-19,9,2.998134e-12
cheb,49501,4.950100,0.0001,0.254,8,2.119631e-10,6.026478e-10,3.631844e-19,9,2.998134e-12
cheb,51001,5.100100,0.0001,0.243,8,2.183880e-10,6.018467e-10,3.622194e-19,9,2.998134e-12
cheb,52501,5.250100,0.0001,0.129,8,2.248104e-10,6.011594e-10,3.613926e-19,9,2.998134e-12
cheb,54001,5.400100,0.0001,0.239,8,2.312333e-10,6.005792e-10,3.606954e-19,9,2.998134e-12
cheb,55501,5.550100,0.0001,0.255,8,2.376548e-10,6.000864e-10,3.601037e-19,9,2.998134e-12
cheb,57001,5.700100,0.0001,0.134,8,2.440796e-10,5.996597e-10,3.595918e-19,9,2.998134e-12
cheb,58501,5.850100,0.0001,0.129,8,2.505027e-10,5.993017e-10,3.591626e-19,9,2.998134e-12
cheb,60001,6.000100,0.0001,0.224,8,2.569256e-10,5.990299e-10,3.588369e-19,9,2.998134e-12
cheb,61501,6.150100,0.0001,0.247,8,2.633449e-10,5.988722e-10,3.586479e-19,9,2.998134e-12
cheb,63001,6.300100,0.0001,0.248,8,2.697713e-10,5.988152e-10,3.585796e-19,9,2.998134e-12
cheb,64501,6.450100,0.0001,0.264,8,2.761960e-10,5.988426e-10,3.586124e-19,9,2.998134e-12
cheb,66001,6.600100,0.0001,0.136,8,2.826208e-10,5.989591e-10,3.587520e-19,9,2.998134e-12
cheb,67501,6.750100,0.0001,0.271,8,2.890399e-10,5.991581e-10,3.589904e-19,9,2.998134e-12
cheb,69001,6.900100,0.0001,0.251,8,2.954637e-10,5.994386e-10,3.593266e-19,9,2.998134e-12
cheb,70501,7.050100,0.0001,0.254,8,3.018885e-10,5.998193e-10,3.597831e-19,9,2.998134e-12
cheb,72001,7.200100,0.0001,0.282,8,3.083103e-10,6.003069e-10,3.603683e-19,9,2.998134e-12
cheb,73501,7.350100,0.0001,0.252,8,3.147340e-10,6.008947e-10,3.610744e-19,9,2.998134e-12
cheb,75001,7.500100,0.0001,0.244,8,3.211589e-10,6.016071e-10,3.619311e-19,9,2.998134e-12
cheb,76501,7.650100,0.0001,0.188,8,3.275784e-10,6.024164e-10,3.629055e-19,9,2.998134e-12
cheb,78001,7.800100,0.0001,0.296,8,3.340046e-10,6.033295e-10,3.640065e-19,9,2.998134e-12
cheb,79501,7.950100,0.0001,0.281,8,3.404268e-10,6.043410e-10,3.652280e-19,9,2.998134e-12
cheb,81001,8.100100,0.0001,0.324,8,3.468497e-10,6.054285e-10,3.665436e-19,9,2.998134e-12
cheb,82501,8.250100,0.0001,0.289,8,3.532710e-10,6.065843e-10,3.679445e-19,9,2.998134e-12
cheb,84001,8.400100,0.0001,0.263,8,3.596949e-10,6.078021e-10,3.694234e-19,9,2.998134e-12
cheb,85501,8.550100,0.0001,0.272,8,3.661169e-10,6.090881e-10,3.709884e-19,9,2.998134e-12
cheb,87001,8.700100,0.0001,0.278,8,3.725387e-10,6.104318e-10,3.726269e-19,9,2.998134e-12
cheb,88501,8.850100,0.0001,0.297,8,3.789626e-10,6.118364e-10,3.743438e-19,9,2.998134e-12
cheb,90001,9.000100,0.0001,0.278,8,3.853866e-10,6.133221e-10,3.761640e-19,9,2.998134e-12
cheb,91501,9.150100,0.0001,0.262,8,3.918088e-10,6.149037e-10,3.781065e-19,9,2.998134e-12
cheb,93001,9.300100,0.0001,0.277,8,3.982317e-10,6.165294e-10,3.801085e-19,9,2.998134e-12
cheb,94501,9.450100,0.0001,0.278,8,4.046552e-10,6.182173e-10,3.821926e-19,9,2.998134e-12
cheb,96001,9.600100,0.0001,0.341,8,4.110783e-10,6.200616e-10,3.844764e-19,9,2.998134e-12
cheb,97501,9.750100,0.0001,0.267,8,4.175005e-10,6.220093e-10,3.868956e-19,9,2.998134e-12
cheb,99001,9.900100,0.0001,0.264,8,4.239233e-10,6.239279e-10,3.892860e-19,9,2.998134e-12
cheb,100501,10.050100,0.0001,0.263,8,4.303469e-10,6.259727e-10,3.918418e-19,9,2.998134e-12
cheb,102001,10.200100,0.0001,0.317,8,4.367693e-10,6.281415e-10,3.945618e-19,9,2.998134e-12
cheb,103501,10.350100,0.0001,0.550,8,4.431910e-10,6.304119e-10,3.974192e-19,9,2.998134e-12
cheb,105001,10.500100,0.0001,0.264,8,4.496135e-10,6.327625e-10,4.003883e-19,9,2.998134e-12
cheb,106501,10.650100,0.0001,0.141,8,4.560363e-10,6.351871e-10,4.034626e-19,9,2.998134e-12
cheb,108001,10.800100,0.0001,0.278,8,4.624610e-10,6.376985e-10,4.066594e-19,9,2.998134e-12
cheb,109501,10.950100,0.0001,0.391,8,4.688834e-10,6.402788e-10,4.099569e-19,9,2.998134e-12
cheb,111001,11.100100,0.0001,0.246,8,4.753058e-10,6.429362e-10,4.133670e-19,9,2.998134e-12
cheb,112501,11.250100,0.0001,0.229,8,4.817293e-10,6.456594e-10,4.168760e-19,9,2.998134e-12
cheb,114001,11.400100,0.0001,0.386,8,4.881533e-10,6.485075e-10,4.205620e-19,9,2.998134e-12
cheb,115501,11.550100,0.0001,0.266,8,4.945779e-10,6.514403e-10,4.243745e-19,9,2.998134e-12
cheb,117001,11.700100,0.0001,0.289,8,5.010001e-10,6.544431e-10,4.282958e-19,9,2.998134e-12
cheb,118501,11.850100,0.0001,0.249,8,5.074228e-10,6.575148e-10,4.323256e-19,9,2.998134e-12
cheb,120001,12.000100,0.0001,1.930,8,5.138450e-10,6.606356e-10,4.364394e-19,9,2.998134e-12
cheb,121501,12.150100,0.0001,0.311,8,5.202687e-10,6.638126e-10,4.406472e-19,9,2.998134e-12
cheb,123001,12.300100,0.0001,0.239,8,5.266922e-10,6.670629e-10,4.449729e-19,9,2.998134e-12
cheb,124501,12.450100,0.0001,0.266,8,5.331122e-10,6.703505e-10,4.493698e-19,9,2.998134e-12
cheb,126001,12.600100,0.0001,0.259,8,5.395377e-10,6.737046e-10,4.538779e-19,9,2.998134e-12
cheb,127501,12.750100,0.0001,0.249,8,5.459613e-10,6.771196e-10,4.584909e-19,9,2.998134e-12
cheb,129001,12.900100,0.0001,0.255,8,5.523826e-10,6.805763e-10,4.631840e-19,9,2.998134e-12
cheb,130501,13.050100,0.0001,0.246,8,5.588088e-10,6.841144e-10,4.680125e-19,9,2.998134e-12
cheb,132001,13.200100,0.0001,0.245,8,5.652296e-10,6.876932e-10,4.729220e-19,9,2.998134e-12
cheb,133501,13.350100,0.0001,0.253,8,5.716518e-10,6.913310e-10,4.779386e-19,9,2.998134e-12
cheb,135001,13.500100,0.0001,0.263,8,5.780736e-10,6.950159e-10,4.830471e-19,9,2.998134e-12
cheb,136501,13.650100,0.0001,0.259,8,5.844998e-10,6.987752e-10,4.882868e-19,9,2.998134e-12
