x,psi_n0,psi_n1,psi_n2,psi_n3,psi_n4,psi_n5,psi_n6,psi_n7,psi_n8,psi_n9
-19.98,1.06058419572e-16,8.02108060097e-16,1.33210654146e-15,1.06883856032e-15,5.38942915574e-15,1.33124465751e-14,2.77157695136e-14,6.16843671506e-14,1.38243003691e-13,3.23195717644e-13
-19.96,4.6675391703e-16,3.70445804563e-16,3.97221614722e-15,4.15486746082e-15,1.05221679678e-14,2.61628418056e-14,5.46052950082e-14,1.20923340648e-13,2.75702719056e-13,6.45869191929e-13
-19.94,2.36619895549e-15,2.76505961221e-15,3.30186653691e-15,7.39485805444e-15,1.82849253216e-14,3.91998055681e-14,8.22812083774e-14,1.82100171673e-13,4.1563971902e-13,9.75383484849e-13
-19.92,1.74778740106e-15,3.49076489081e-15,2.91828312547e-15,1.23761356875e-14,2.62176677271e-14,5.23159488664e-14,1.09660273635e-13,2.44495459167e-13,5.60988041118e-13,1.31148822696e-12
-19.9,7.08547282698e-16,2.80225866495e-15,4.96470601073e-15,1.55090385246e-14,3.11991004308e-14,6.60736598491e-14,1.4173960309e-13,3.09858785491e-13,7.09653974988e-13,1.65966919872e-12
-19.88,-1.24667930636e-16,2.07362729057e-15,5.87144322634e-15,1.53340746904e-14,3.6037759806e-14,7.94660637213e-14,1.70175640605e-13,3.75562876441e-13,8.59965203076e-13,2.01405648944e-12
-19.86,-4.50828779318e-16,8.63243846609e-16,8.17793054528e-15,1.92416248835e-14,4.43915487963e-14,9.62226479476e-14,2.03499136362e-13,4.45393997799e-13,1.01966962254e-12,2.38489741365e-12
-19.84,-4.64964858511e-16,2.23245805835e-15,9.18925299487e-15,2.20683046196e-14,5.49075162387e-14,1.12186713805e-13,2.36522525662e-13,5.19897190482e-13,1.18907081343e-12,2.77377182042e-12
-19.82,-4.98170515807e-17,1.07465013056e-15,9.36738138759e-15,2.72553228335e-14,5.99391490934e-14,1.28399604148e-13,2.68351672348e-13,5.95256233749e-13,1.36150292338e-12,3.17959428195e-12
-19.8,7.93211821311e-16,2.63012362651e-15,1.11446120743e-14,2.95802800104e-14,6.73443085009e-14,1.45829813429e-13,3.06439185598e-13,6.72783699501e-13,1.5433538847e-12,3.6061809995e-12
-19.78,3.39758337962e-16,4.36422025425e-15,1.26089678064e-14,3.22696779962e-14,7.55226848136e-14,1.63601772787e-13,3.43546802485e-13,7.58714344388e-13,1.73714488771e-12,4.05791978466e-12
-19.76,1.15865858317e-15,3.75678985312e-15,1.46037648859e-14,3.76272995365e-14,8.61245795894e-14,1.83281570428e-13,3.84903979981e-13,8.50865202042e-13,1.94620032667e-12,4.53821089485e-12
-19.74,3.817571085e-15,3.41465591163e-15,1.44954409687e-14,4.04874370888e-14,9.64598327446e-14,2.0243752868e-13,4.28700081107e-13,9.47214962973e-13,2.1632226525e-12,5.0505476044e-12
-19.72,1.68612337748e-15,5.34326257302e-15,1.78797839736e-14,4.50989561379e-14,1.05786121624e-13,2.24212884434e-13,4.77346746069e-13,1.04934621495e-12,2.39820210437e-12,5.59494731051e-12
-19.7,1.33905997135e-15,6.46161054513e-15,2.04612134228e-14,4.99477212845e-14,1.1801223887e-13,2.48512670679e-13,5.26426033917e-13,1.15819176703e-12,2.64546310409e-12,6.17510983253e-12
-19.68,2.78780547663e-15,6.62537685219e-15,2.11976184319e-14,5.5950030137e-14,1.3059204207e-13,2.7461278034e-13,5.78751788784e-13,1.27601810165e-12,2.91644944328e-12,6.79864990951e-12
-19.66,7.14043136197e-16,6.48263759545e-15,2.28278534148e-14,6.04760059181e-14,1.42301535226e-13,3.01900564676e-13,6.36505287137e-13,1.40164146201e-12,3.20248591121e-12,7.46766006937e-12
-19.64,-7.9180109906e-16,6.61331519041e-15,2.40471576815e-14,6.70765496437e-14,1.56311978394e-13,3.33259378303e-13,6.98044323754e-13,1.53769490373e-12,3.51274673119e-12,8.18652332788e-12
-19.62,4.97633169009e-16,8.68756463318e-15,3.05913281156e-14,7.39509959487e-14,1.7125520398e-13,3.62056041668e-13,7.64468840185e-13,1.68416481795e-12,3.84575758006e-12,8.95585584059e-12
-19.6,1.14017307762e-15,9.09629722719e-15,3.29229327485e-14,8.26636683026e-14,1.88498265989e-13,3.96225644576e-13,8.34841872346e-13,1.84009561898e-12,4.20145659644e-12,9.78671046723e-12
