x,psi_n0,psi_n1,psi_n2,psi_n3,psi_n4,psi_n5,psi_n6,psi_n7,psi_n8,psi_n9
-29.97,2.4479052319e-17,-2.88189146948e-16,-6.40591418862e-16,4.36029249027e-17,5.84623480161e-16,1.42234141935e-17,-1.27486630395e-16,3.06787511685e-16,-7.99337398504e-17,1.76719937566e-15
-29.94,-9.41216521727e-16,-1.295696894e-15,-2.17715627089e-15,-2.29769905682e-16,-1.35361892948e-15,-4.82110663606e-16,1.09264153374e-17,6.09312323764e-16,-1.98413777418e-17,9.30624320323e-16
-29.91,1.25464501047e-15,7.23858908574e-16,7.2173937866e-16,9.75912092729e-16,-9.49009975499e-16,4.11676904259e-16,-4.14486799849e-16,-1.37107036164e-15,-1.36644678135e-15,-4.63657316202e-16
-29.88,-1.05290931779e-16,-6.83795039209e-16,-5.00449744168e-16,7.44054564159e-16,8.81251656434e-17,-9.33641421062e-17,-3.88733432867e-16,-5.4770223611e-16,2.16164460551e-16,-6.20851078228e-16
-29.85,1.03330076683e-15,-3.651207291e-16,7.51140245954e-16,7.55688081741e-16,-1.30220369584e-15,-1.55563662642e-15,-1.57136039358e-15,-5.5407835642e-16,-6.17165606302e-16,4.52336993691e-16
-29.82,1.10885466779e-15,6.19867361106e-16,-8.45510181869e-16,6.89939412363e-16,-2.80067023291e-15,-1.5302121525e-15,6.51449319017e-16,8.23456341354e-16,1.74886867415e-15,1.41691661903e-15
-29.79,2.58093172453e-16,-6.47127092309e-17,-3.381373496e-16,5.59424825051e-16,8.32314246658e-16,-3.61413192428e-17,4.10915285257e-16,7.89166573386e-17,-5.52604728381e-16,-4.87803724079e-16
-29.76,1.60505280054e-16,-3.01125965117e-16,1.41369062127e-16,8.92919661048e-16,4.72252778204e-16,5.84627828404e-16,9.1270252322e-16,6.74163515656e-16,-9.2169049373e-17,-1.03942687442e-15
-29.73,-2.79984606532e-16,-2.01766608744e-16,6.90458637242e-16,1.67934757807e-16,-8.20231282506e-16,8.49729070041e-16,-4.39386547065e-16,2.40809653275e-16,-7.32770206528e-16,-8.85422851777e-16
-29.7,6.9092872034e-16,-6.18869252307e-16,-1.16845978248e-15,-7.51224046218e-17,-1.06819941744e-15,2.60226198493e-16,6.4599556745e-16,-1.13331893816e-16,1.00110598299e-17,1.16091786523e-15
-29.67,1.13278746103e-16,-7.77945593102e-16,3.73081405938e-16,2.0855207824e-18,1.38993691472e-15,-3.07618149828e-16,-5.87991411001e-16,-5.15163550748e-16,-1.08776100508e-15,-6.97854157186e-16
-29.64,-1.22257007832e-15,1.84968088148e-15,4.55080205168e-16,8.35380501446e-16,9.82951378629e-19,8.51338025826e-16,-5.74255063467e-16,-1.08146286804e-15,-2.0099838539e-15,-1.05718719835e-15
-29.61,2.28419552738e-16,-4.72598679437e-16,-2.48159220061e-16,-9.03947022541e-16,-6.81884851339e-16,1.39679849765e-15,-9.46332053445e-16,1.45001248573e-15,-5.31417105093e-16,2.47168278901e-17
-29.58,-5.66974854701e-16,-8.03892868126e-16,7.17952788447e-16,-3.11611168195e-16,1.2168434837e-15,-6.17585287144e-16,-1.01106695421e-15,-4.35964549557e-16,4.32908560613e-16,-1.92629638582e-16
-29.55,1.79312388842e-16,-4.30884276709e-16,-6.30533920231e-16,-8.3301049401e-16,1.92369857074e-15,1.16791138824e-15,-6.50217431413e-16,-1.20504386465e-15,-4.49451199365e-16,-1.39714834672e-15
-29.52,9.07125835313e-17,1.11778028871e-15,-9.62896240114e-16,-2.70178802295e-16,-3.71854610053e-17,-4.02160273916e-16,-1.00618990456e-15,-1.133399784e-15,-9.71668800889e-16,-8.790591547e-16
-29.49,-2.46003885861e-16,1.43177308949e-16,-7.1672270835e-16,-8.3089227344e-16,7.64461500597e-16,-3.89145692612e-16,4.90328517036e-16,-1.06712543053e-15,4.48154872753e-16,-5.43117966399e-16
-29.46,2.09360253847e-16,4.24273489024e-16,-1.30385726891e-15,-9.77243668318e-17,-2.74014030236e-16,-1.0290953332e-15,-2.9736200443e-17,3.38565442773e-16,-1.48346057467e-16,5.88285244427e-16
-29.43,-1.56317752784e-15,-1.0597616611e-16,2.11687965207e-16,3.70470454588e-16,6.75903383137e-16,2.53343995588e-16,-7.64619922308e-16,-1.35977397355e-15,-1.77197925286e-15,-1.40440943059e-15
-29.4,1.41137656457e-16,-1.38198413952e-16,1.34115148904e-15,8.76773617233e-16,-1.98939918997e-18,-5.3988949409e-16,7.08516603204e-16,2.07730150279e-16,-7.59268425798e-16,-8.86046420012e-17
