method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
rk4,1,0.100000,0.1,0.217,4,8.260674e+02,2.806400e+01,7.875879e+02
rk4,2,0.200000,0.1,0.068,4,2.223194e+06,1.490796e+03,2.222474e+06
rk4,3,0.300000,0.1,0.119,4,4.089603e+18,2.022277e+09,4.089603e+18
rk4,4,0.400000,0.1,0.119,4,2.907238e+34,1.705063e+17,2.907238e+34
rk4,5,0.500000,0.1,0.067,4,2.346264e+50,1.531752e+25,2.346264e+50
rk4,6,0.600000,0.1,0.113,4,2.038493e+66,1.427758e+33,2.038493e+66
rk4,7,0.700000,0.1,0.133,4,1.851075e+82,1.360542e+41,1.851075e+82
rk4,8,0.800000,0.1,0.113,4,1.728345e+98,1.314665e+49,1.728345e+98
rk4,9,0.900000,0.1,0.068,4,1.643811e+114,1.282112e+57,1.643811e+114
rk4,10,1.000000,0.1,0.119,4,1.583586e+130,1.258406e+65,1.583586e+130
