method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
rk4,1,0.001000,0.001,0.263,4,2.903607e-10,3.950307e-09,1.560493e-17
rk4,151,0.151000,0.001,0.098,4,inf,inf,inf
rk4,301,0.301000,0.001,0.064,4,nan,-nan(ind),-nan(ind)
rk4,451,0.451000,0.001,0.094,4,nan,-nan(ind),-nan(ind)
rk4,601,0.601000,0.001,0.064,4,nan,-nan(ind),-nan(ind)
rk4,751,0.751000,0.001,0.120,4,nan,-nan(ind),-nan(ind)
rk4,901,0.901000,0.001,0.117,4,nan,-nan(ind),-nan(ind)
rk4,1051,1.051000,0.001,0.113,4,nan,-nan(ind),-nan(ind)
rk4,1201,1.201000,0.001,0.097,4,nan,-nan(ind),-nan(ind)
rk4,1351,1.351000,0.001,0.114,4,nan,-nan(ind),-nan(ind)
rk4,1501,1.501000,0.001,0.116,4,nan,-nan(ind),-nan(ind)
rk4,1651,1.651000,0.001,0.117,4,nan,-nan(ind),-nan(ind)
rk4,1801,1.801000,0.001,0.120,4,nan,-nan(ind),-nan(ind)
rk4,1951,1.951000,0.001,0.120,4,nan,-nan(ind),-nan(ind)
rk4,2101,2.101000,0.001,0.120,4,nan,-nan(ind),-nan(ind)
rk4,2251,2.251000,0.001,0.122,4,nan,-nan(ind),-nan(ind)
rk4,2401,2.401000,0.001,0.122,4,nan,-nan(ind),-nan(ind)
rk4,2551,2.551000,0.001,0.099,4,nan,-nan(ind),-nan(ind)
rk4,2701,2.701000,0.001,0.120,4,nan,-nan(ind),-nan(ind)
rk4,2851,2.851000,0.001,0.122,4,nan,-nan(ind),-nan(ind)
rk4,3001,3.001000,0.001,0.103,4,nan,-nan(ind),-nan(ind)
rk4,3151,3.151000,0.001,0.119,4,nan,-nan(ind),-nan(ind)
rk4,3301,3.301000,0.001,0.118,4,nan,-nan(ind),-nan(ind)
rk4,3451,3.451000,0.001,0.114,4,nan,-nan(ind),-nan(ind)
rk4,3601,3.601000,0.001,0.115,4,nan,-nan(ind),-nan(ind)
rk4,3751,3.751000,0.001,0.099,4,nan,-nan(ind),-nan(ind)
rk4,3901,3.901000,0.001,0.114,4,nan,-nan(ind),-nan(ind)
rk4,4051,4.051000,0.001,0.114,4,nan,-nan(ind),-nan(ind)
rk4,4201,4.201000,0.001,0.113,4,nan,-nan(ind),-nan(ind)
rk4,4351,4.351000,0.001,0.112,4,nan,-nan(ind),-nan(ind)
rk4,4501,4.501000,0.001,0.060,4,nan,-nan(ind),-nan(ind)
rk4,4651,4.651000,0.001,0.107,4,nan,-nan(ind),-nan(ind)
rk4,4801,4.801000,0.001,0.114,4,nan,-nan(ind),-nan(ind)
rk4,4951,4.951000,0.001,0.196,4,nan,-nan(ind),-nan(ind)
rk4,5101,5.101000,0.001,0.118,4,nan,-nan(ind),-nan(ind)
rk4,5251,5.251000,0.001,0.118,4,nan,-nan(ind),-nan(ind)
rk4,5401,5.401000,0.001,0.107,4,nan,-nan(ind),-nan(ind)
rk4,5551,5.551000,0.001,0.060,4,nan,-nan(ind),-nan(ind)
rk4,5701,5.701000,0.001,0.112,4,nan,-nan(ind),-nan(ind)
rk4,5851,5.851000,0.001,0.097,4,nan,-nan(ind),-nan(ind)
rk4,6001,6.001000,0.001,0.119,4,nan,-nan(ind),-nan(ind)
rk4,6151,6.151000,0.001,0.097,4,nan,-nan(ind),-nan(ind)
rk4,6301,6.301000,0.001,0.115,4,nan,-nan(ind),-nan(ind)
rk4,6451,6.451000,0.001,0.060,4,nan,-nan(ind),-nan(ind)
rk4,6601,6.601000,0.001,0.115,4,nan,-nan(ind),-nan(ind)
rk4,6751,6.751000,0.001,0.097,4,nan,-nan(ind),-nan(ind)
rk4,6901,6.901000,0.001,0.060,4,nan,-nan(ind),-nan(ind)
