method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
rk4,1,0.000100,0.0001,0.271,4,2.220446e-16,1.067286e-15,1.139099e-30
rk4,101,0.010100,0.0001,0.105,4,8.881784e-16,2.303142e-14,5.304461e-28
rk4,201,0.020100,0.0001,0.080,4,0.000000e+00,3.585431e-14,1.285531e-27
rk4,301,0.030100,0.0001,0.115,4,4.440892e-16,4.999910e-14,2.499910e-27
rk4,401,0.040100,0.0001,0.061,4,2.220446e-16,6.352031e-14,4.034830e-27
rk4,501,0.050100,0.0001,0.113,4,0.000000e+00,7.721580e-14,5.962280e-27
rk4,601,0.060100,0.0001,0.091,4,1.332268e-15,9.146838e-14,8.366464e-27
rk4,701,0.070100,0.0001,0.109,4,4.440892e-16,1.065802e-13,1.135933e-26
rk4,801,0.080100,0.0001,0.114,4,6.661338e-16,1.217287e-13,1.481787e-26
rk4,901,0.090100,0.0001,0.114,4,4.440892e-16,1.371248e-13,1.880321e-26
rk4,1001,0.100100,0.0001,0.063,4,2.220446e-16,1.516891e-13,2.300958e-26
rk4,1101,0.110100,0.0001,0.064,4,6.661338e-16,1.655357e-13,2.740206e-26
rk4,1201,0.120100,0.0001,0.118,4,4.440892e-16,1.782663e-13,3.177888e-26
rk4,1301,0.130100,0.0001,0.118,4,4.440892e-16,1.891645e-13,3.578321e-26
rk4,1401,0.140100,0.0001,0.064,4,4.440892e-16,1.984845e-13,3.939610e-26
rk4,1501,0.150100,0.0001,0.120,4,4.440892e-16,2.073986e-13,4.301419e-26
rk4,1601,0.160100,0.0001,0.061,4,2.220446e-16,2.158880e-13,4.660761e-26
rk4,1701,0.170100,0.0001,0.107,4,8.881784e-16,2.241279e-13,5.023333e-26
rk4,1801,0.180100,0.0001,0.113,4,4.440892e-16,2.320289e-13,5.383739e-26
rk4,1901,0.190100,0.0001,0.112,4,4.440892e-16,2.397776e-13,5.749331e-26
rk4,2001,0.200100,0.0001,0.117,4,2.220446e-16,2.475466e-13,6.127932e-26
rk4,2101,0.210100,0.0001,0.119,4,0.000000e+00,2.553148e-13,6.518566e-26
rk4,2201,0.220100,0.0001,0.064,4,2.220446e-16,2.630230e-13,6.918112e-26
rk4,2301,0.230100,0.0001,0.080,4,1.110223e-15,2.708995e-13,7.338651e-26
rk4,2401,0.240100,0.0001,0.112,4,1.998401e-15,2.787945e-13,7.772636e-26
rk4,2501,0.250100,0.0001,0.064,4,5.551115e-16,2.866891e-13,8.219067e-26
rk4,2601,0.260100,0.0001,0.112,4,1.110223e-15,2.944988e-13,8.672952e-26
rk4,2701,0.270100,0.0001,0.121,4,8.881784e-16,3.023982e-13,9.144466e-26
rk4,2801,0.280100,0.0001,0.112,4,2.220446e-16,3.101393e-13,9.618640e-26
rk4,2901,0.290100,0.0001,0.180,4,4.440892e-16,3.179233e-13,1.010753e-25
rk4,3001,0.300100,0.0001,0.115,4,4.440892e-16,3.257099e-13,1.060869e-25
rk4,3101,0.310100,0.0001,0.114,4,6.661338e-16,3.335721e-13,1.112703e-25
rk4,3201,0.320100,0.0001,0.106,4,4.440892e-16,3.413187e-13,1.164984e-25
rk4,3301,0.330100,0.0001,0.113,4,1.998401e-15,3.493464e-13,1.220429e-25
rk4,3401,0.340100,0.0001,0.118,4,8.881784e-16,3.574711e-13,1.277856e-25
rk4,3501,0.350100,0.0001,0.163,4,4.440892e-16,3.659004e-13,1.338831e-25
rk4,3601,0.360100,0.0001,0.061,4,1.554312e-15,3.744871e-13,1.402406e-25
rk4,3701,0.370100,0.0001,0.106,4,8.881784e-16,3.832273e-13,1.468632e-25
rk4,3801,0.380100,0.0001,0.106,4,4.440892e-16,3.920509e-13,1.537039e-25
rk4,3901,0.390100,0.0001,0.113,4,1.776357e-15,4.008064e-13,1.606458e-25
rk4,4001,0.400100,0.0001,0.061,4,6.661338e-16,4.096779e-13,1.678360e-25
rk4,4101,0.410100,0.0001,0.111,4,1.110223e-15,4.184958e-13,1.751388e-25
rk4,4201,0.420100,0.0001,0.119,4,9.992007e-16,4.274003e-13,1.826710e-25
rk4,4301,0.430100,0.0001,0.061,4,1.776357e-15,4.362639e-13,1.903261e-25
rk4,4401,0.440100,0.0001,0.058,4,6.661338e-16,4.451953e-13,1.981989e-25
rk4,4501,0.450100,0.0001,0.101,4,4.440892e-16,4.539884e-13,2.061055e-25
rk4,4601,0.460100,0.0001,0.117,4,8.881784e-16,4.627597e-13,2.141465e-25
rk4,4701,0.470100,0.0001,0.058,4,4.440892e-16,4.714927e-13,2.223054e-25
rk4,4801,0.480100,0.0001,0.070,4,1.554312e-15,4.801849e-13,2.305775e-25
rk4,4901,0.490100,0.0001,0.058,4,1.554312e-15,4.887561e-13,2.388825e-25
rk4,5001,0.500100,0.0001,0.106,4,9.992007e-16,4.973260e-13,2.473332e-25
rk4,5101,0.510100,0.0001,0.073,4,1.332268e-15,5.058527e-13,2.558869e-25
rk4,5201,0.520100,0.0001,0.102,4,4.440892e-16,5.141573e-13,2.643578e-25
rk4,5301,0.530100,0.0001,0.102,4,2.886580e-15,5.226817e-13,2.731962e-25
rk4,5401,0.540100,0.0001,0.107,4,5.551115e-16,5.310050e-13,2.819664e-25
rk4,5501,0.550100,0.0001,0.106,4,6.661338e-16,5.394473e-13,2.910034e-25
rk4,5601,0.560100,0.0001,0.091,4,1.110223e-15,5.479575e-13,3.002575e-25
rk4,5701,0.570100,0.0001,0.058,4,5.551115e-16,5.565199e-13,3.097144e-25
rk4,5801,0.580100,0.0001,0.058,4,1.332268e-15,5.652245e-13,3.194788e-25
rk4,5901,0.590100,0.0001,0.058,4,2.442491e-15,5.740661e-13,3.295519e-25
rk4,6001,0.600100,0.0001,0.058,4,8.881784e-16,5.827816e-13,3.396344e-25
rk4,6101,0.610100,0.0001,0.091,4,5.551115e-16,5.917112e-13,3.501222e-25
rk4,6201,0.620100,0.0001,0.058,4,8.881784e-16,6.005412e-13,3.606498e-25
rk4,6301,0.630100,0.0001,0.058,4,4.440892e-16,6.095430e-13,3.715427e-25
rk4,6401,0.640100,0.0001,0.102,4,1.110223e-15,6.185591e-13,3.826154e-25
rk4,6501,0.650100,0.0001,0.094,4,1.554312e-15,6.275825e-13,3.938598e-25
rk4,6601,0.660100,0.0001,0.108,4,4.440892e-16,6.366853e-13,4.053682e-25
rk4,6701,0.670100,0.0001,0.106,4,6.661338e-16,6.455485e-13,4.167329e-25
rk4,6801,0.680100,0.0001,0.112,4,4.440892e-16,6.544076e-13,4.282493e-25
rk4,6901,0.690100,0.0001,0.111,4,2.220446e-16,6.631774e-13,4.398042e-25
rk4,7001,0.700100,0.0001,0.416,4,7.771561e-16,6.717933e-13,4.513063e-25
rk4,7101,0.710100,0.0001,0.100,4,1.221245e-15,6.804640e-13,4.630312e-25
rk4,7201,0.720100,0.0001,0.110,4,1.332268e-15,6.890855e-13,4.748388e-25
rk4,7301,0.730100,0.0001,0.108,4,2.442491e-15,6.976990e-13,4.867839e-25
rk4,7401,0.740100,0.0001,0.108,4,1.998401e-15,7.064816e-13,4.991163e-25
rk4,7501,0.750100,0.0001,0.102,4,6.661338e-16,7.151511e-13,5.114411e-25
rk4,7601,0.760100,0.0001,0.114,4,5.551115e-16,7.238593e-13,5.239722e-25
rk4,7701,0.770100,0.0001,0.101,4,5.551115e-16,7.324749e-13,5.365195e-25
rk4,7801,0.780100,0.0001,0.058,4,1.665335e-15,7.412737e-13,5.494867e-25
rk4,7901,0.790100,0.0001,0.102,4,8.881784e-16,7.500359e-13,5.625539e-25
rk4,8001,0.800100,0.0001,0.113,4,4.440892e-16,7.588299e-13,5.758228e-25
rk4,8101,0.810100,0.0001,0.113,4,1.332268e-15,7.677639e-13,5.894615e-25
rk4,8201,0.820100,0.0001,0.112,4,1.776357e-15,7.764544e-13,6.028815e-25
rk4,8301,0.830100,0.0001,0.125,4,2.220446e-16,7.852691e-13,6.166475e-25
rk4,8401,0.840100,0.0001,0.107,4,3.108624e-15,7.938350e-13,6.301739e-25
rk4,8501,0.850100,0.0001,0.107,4,2.220446e-16,8.025740e-13,6.441251e-25
rk4,8601,0.860100,0.0001,0.112,4,1.110223e-15,8.111059e-13,6.578927e-25
rk4,8701,0.870100,0.0001,0.108,4,5.551115e-16,8.197824e-13,6.720432e-25
rk4,8801,0.880100,0.0001,0.110,4,9.992007e-16,8.283771e-13,6.862086e-25
rk4,8901,0.890100,0.0001,0.058,4,1.332268e-15,8.370209e-13,7.006039e-25
rk4,9001,0.900100,0.0001,0.058,4,4.440892e-16,8.456404e-13,7.151076e-25
rk4,9101,0.910100,0.0001,0.108,4,4.440892e-16,8.544456e-13,7.300773e-25
rk4,9201,0.920100,0.0001,0.107,4,8.881784e-16,8.633285e-13,7.453361e-25
rk4,9301,0.930100,0.0001,0.107,4,0.000000e+00,8.720191e-13,7.604172e-25
rk4,9401,0.940100,0.0001,0.109,4,1.554312e-15,8.807745e-13,7.757637e-25
rk4,9501,0.950100,0.0001,0.122,4,1.332268e-15,8.892731e-13,7.908066e-25
rk4,9601,0.960100,0.0001,0.114,4,3.330669e-15,8.979507e-13,8.063155e-25
rk4,9701,0.970100,0.0001,0.115,4,1.110223e-15,9.064476e-13,8.216473e-25
rk4,9801,0.980100,0.0001,0.113,4,4.440892e-16,9.149796e-13,8.371877e-25
rk4,9901,0.990100,0.0001,0.061,4,2.220446e-16,9.236233e-13,8.530800e-25
rk4,10000,1.000000,0.0001,0.058,4,2.220446e-16,9.320891e-13,8.687901e-25
