method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
rk4,1,0.000010,1e-05,0.094,4,1.110223e-16,1.237266e-15,1.530827e-30
rk4,1001,0.010010,1e-05,0.032,4,2.220446e-16,4.682043e-14,2.192153e-27
rk4,2001,0.020010,1e-05,0.059,4,1.110223e-15,8.725451e-14,7.613350e-27
rk4,3001,0.030010,1e-05,0.032,4,4.440892e-16,1.257264e-13,1.580712e-26
rk4,4001,0.040010,1e-05,0.036,4,6.661338e-16,1.360824e-13,1.851843e-26
rk4,5001,0.050010,1e-05,0.032,4,7.771561e-16,2.464283e-13,6.072690e-26
rk4,6001,0.060010,1e-05,0.032,4,6.661338e-16,3.814194e-13,1.454808e-25
rk4,7001,0.070010,1e-05,0.036,4,1.110223e-16,2.870172e-13,8.237885e-26
rk4,8001,0.080010,1e-05,0.032,4,4.440892e-16,1.836508e-13,3.372763e-26
rk4,9001,0.090010,1e-05,0.066,4,6.661338e-16,2.603934e-13,6.780471e-26
rk4,10001,0.100010,1e-05,0.054,4,7.771561e-16,4.290456e-13,1.840802e-25
rk4,11001,0.110010,1e-05,0.032,4,4.440892e-16,6.182740e-13,3.822628e-25
rk4,12001,0.120010,1e-05,0.054,4,4.440892e-16,8.137443e-13,6.621798e-25
rk4,13001,0.130010,1e-05,0.032,4,4.440892e-16,6.714883e-13,4.508965e-25
rk4,14001,0.140010,1e-05,0.051,4,1.110223e-16,2.513954e-13,6.319963e-26
rk4,15001,0.150010,1e-05,0.032,4,1.110223e-16,4.182392e-13,1.749240e-25
rk4,16001,0.160010,1e-05,0.039,4,6.661338e-16,8.866762e-13,7.861947e-25
rk4,17001,0.170010,1e-05,0.032,4,1.332268e-15,1.376974e-12,1.896057e-24
rk4,18001,0.180010,1e-05,0.035,4,1.554312e-15,1.872577e-12,3.506545e-24
rk4,19001,0.190010,1e-05,0.034,4,6.661338e-16,2.369976e-12,5.616785e-24
rk4,20001,0.200010,1e-05,0.067,4,6.661338e-16,2.868288e-12,8.227075e-24
rk4,21001,0.210010,1e-05,0.034,4,6.661338e-16,3.366754e-12,1.133504e-23
rk4,22001,0.220010,1e-05,0.032,4,5.551115e-16,3.865691e-12,1.494357e-23
rk4,23001,0.230010,1e-05,0.032,4,6.661338e-16,4.365326e-12,1.905607e-23
rk4,24001,0.240010,1e-05,0.035,4,6.661338e-16,4.865092e-12,2.366912e-23
rk4,25001,0.250010,1e-05,0.032,4,1.554312e-15,5.365047e-12,2.878373e-23
rk4,26001,0.260010,1e-05,0.037,4,1.332268e-15,5.865889e-12,3.440866e-23
rk4,27001,0.270010,1e-05,0.034,4,1.110223e-16,6.366722e-12,4.053515e-23
rk4,28001,0.280010,1e-05,0.040,4,1.110223e-15,6.868116e-12,4.717102e-23
rk4,29001,0.290010,1e-05,0.033,4,2.220446e-15,7.369566e-12,5.431051e-23
rk4,30001,0.300010,1e-05,0.045,4,1.110223e-15,7.871873e-12,6.196638e-23
rk4,31001,0.310010,1e-05,0.032,4,2.442491e-15,8.374219e-12,7.012754e-23
rk4,32001,0.320010,1e-05,0.036,4,1.332268e-15,8.876861e-12,7.879866e-23
rk4,33001,0.330010,1e-05,0.032,4,2.220446e-16,9.379439e-12,8.797387e-23
rk4,34001,0.340010,1e-05,0.034,4,6.661338e-16,9.882624e-12,9.766625e-23
rk4,35001,0.350010,1e-05,0.032,4,1.554312e-15,1.038593e-11,1.078676e-22
rk4,36001,0.360010,1e-05,0.033,4,3.108624e-15,1.088841e-11,1.185574e-22
rk4,37001,0.370010,1e-05,0.032,4,1.554312e-15,1.139020e-11,1.297367e-22
rk4,38001,0.380010,1e-05,0.034,4,2.220446e-15,1.189250e-11,1.414315e-22
rk4,39001,0.390010,1e-05,0.034,4,1.776357e-15,1.239405e-11,1.536124e-22
rk4,40001,0.400010,1e-05,0.034,4,1.776357e-15,1.289559e-11,1.662961e-22
rk4,41001,0.410010,1e-05,0.050,4,3.330669e-15,1.339575e-11,1.794463e-22
rk4,42001,0.420010,1e-05,0.032,4,3.552714e-15,1.389646e-11,1.931116e-22
rk4,43001,0.430010,1e-05,0.073,4,3.330669e-15,1.439644e-11,2.072574e-22
rk4,44001,0.440010,1e-05,0.032,4,1.998401e-15,1.489626e-11,2.218985e-22
rk4,45001,0.450010,1e-05,0.032,4,2.664535e-15,1.539516e-11,2.370110e-22
