method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
rk4,1,0.000010,1e-05,0.119,4,2.220446e-16,1.173852e-15,1.377929e-30
rk4,1001,0.010010,1e-05,0.045,4,2.220446e-16,4.663401e-14,2.174731e-27
rk4,2001,0.020010,1e-05,0.042,4,1.554312e-15,7.394409e-14,5.467728e-27
rk4,3001,0.030010,1e-05,0.115,4,1.110223e-16,9.675186e-14,9.360923e-27
rk4,4001,0.040010,1e-05,0.038,4,9.992007e-16,1.143894e-13,1.308494e-26
rk4,5001,0.050010,1e-05,0.036,4,2.220446e-16,1.315951e-13,1.731727e-26
rk4,6001,0.060010,1e-05,0.039,4,4.440892e-16,1.456133e-13,2.120323e-26
rk4,7001,0.070010,1e-05,0.049,4,6.661338e-16,1.552991e-13,2.411780e-26
rk4,8001,0.080010,1e-05,0.041,4,6.661338e-16,1.657499e-13,2.747304e-26
rk4,9001,0.090010,1e-05,0.059,4,1.110223e-15,1.779813e-13,3.167736e-26
rk4,10001,0.100010,1e-05,0.053,4,2.220446e-16,1.925041e-13,3.705784e-26
rk4,11001,0.110010,1e-05,0.097,4,1.110223e-16,2.067559e-13,4.274802e-26
rk4,12001,0.120010,1e-05,0.045,4,4.440892e-16,2.213827e-13,4.901032e-26
rk4,13001,0.130010,1e-05,0.042,4,6.661338e-16,2.371771e-13,5.625297e-26
rk4,14001,0.140010,1e-05,0.238,4,1.332268e-15,2.532733e-13,6.414736e-26
rk4,15001,0.150010,1e-05,0.043,4,4.440892e-16,2.695151e-13,7.263839e-26
rk4,16001,0.160010,1e-05,0.045,4,2.220446e-16,2.852532e-13,8.136941e-26
rk4,17001,0.170010,1e-05,0.051,4,2.220446e-16,3.011209e-13,9.067382e-26
rk4,18001,0.180010,1e-05,0.115,4,0.000000e+00,3.172674e-13,1.006586e-25
rk4,19001,0.190010,1e-05,0.105,4,2.220446e-16,3.340767e-13,1.116073e-25
rk4,20001,0.200010,1e-05,0.042,4,2.220446e-16,3.518001e-13,1.237633e-25
rk4,21001,0.210010,1e-05,0.074,4,7.771561e-16,3.700967e-13,1.369716e-25
rk4,22001,0.220010,1e-05,0.045,4,1.998401e-15,3.885653e-13,1.509830e-25
rk4,23001,0.230010,1e-05,0.042,4,4.440892e-16,4.071681e-13,1.657859e-25
rk4,24001,0.240010,1e-05,0.065,4,1.110223e-16,4.256127e-13,1.811462e-25
rk4,25001,0.250010,1e-05,0.105,4,7.771561e-16,4.438448e-13,1.969982e-25
rk4,26001,0.260010,1e-05,0.042,4,2.220446e-16,4.615648e-13,2.130421e-25
rk4,27001,0.270010,1e-05,0.057,4,9.992007e-16,4.789972e-13,2.294383e-25
rk4,28001,0.280010,1e-05,0.042,4,1.443290e-15,4.963198e-13,2.463333e-25
rk4,29001,0.290010,1e-05,0.158,4,2.664535e-15,5.138004e-13,2.639909e-25
rk4,30001,0.300010,1e-05,0.065,4,6.661338e-16,5.314385e-13,2.824269e-25
rk4,31001,0.310010,1e-05,0.084,4,7.771561e-16,5.489645e-13,3.013620e-25
rk4,32001,0.320010,1e-05,0.041,4,2.442491e-15,5.666547e-13,3.210976e-25
rk4,33001,0.330010,1e-05,0.041,4,1.665335e-15,5.844851e-13,3.416228e-25
rk4,34001,0.340010,1e-05,0.070,4,2.109424e-15,6.022799e-13,3.627411e-25
rk4,35001,0.350010,1e-05,0.041,4,3.219647e-15,6.198688e-13,3.842373e-25
rk4,36001,0.360010,1e-05,0.102,4,3.774758e-15,6.374944e-13,4.063992e-25
rk4,37001,0.370010,1e-05,0.041,4,2.109424e-15,6.550720e-13,4.291193e-25
rk4,38001,0.380010,1e-05,0.085,4,3.552714e-15,6.726094e-13,4.524034e-25
rk4,39001,0.390010,1e-05,0.127,4,2.553513e-15,6.901464e-13,4.763021e-25
rk4,40001,0.400010,1e-05,0.051,4,2.553513e-15,7.076174e-13,5.007224e-25
rk4,41001,0.410010,1e-05,0.131,4,4.329870e-15,7.254278e-13,5.262455e-25
rk4,42001,0.420010,1e-05,0.097,4,3.219647e-15,7.430770e-13,5.521634e-25
rk4,43001,0.430010,1e-05,0.114,4,3.219647e-15,7.607744e-13,5.787777e-25
rk4,44001,0.440010,1e-05,0.159,4,4.218847e-15,7.784226e-13,6.059418e-25
rk4,45001,0.450010,1e-05,0.158,4,4.218847e-15,7.962356e-13,6.339911e-25
rk4,46001,0.460010,1e-05,0.090,4,3.552714e-15,8.139443e-13,6.625054e-25
rk4,47001,0.470010,1e-05,0.114,4,3.441691e-15,8.318996e-13,6.920570e-25
rk4,48001,0.480010,1e-05,0.049,4,2.997602e-15,8.498414e-13,7.222305e-25
rk4,49001,0.490010,1e-05,0.097,4,2.553513e-15,8.677783e-13,7.530392e-25
rk4,50001,0.500010,1e-05,0.103,4,3.219647e-15,8.856950e-13,7.844557e-25
rk4,51001,0.510010,1e-05,0.041,4,1.665335e-15,8.905760e-13,7.931256e-25
rk4,52001,0.520010,1e-05,0.055,4,2.109424e-15,8.962336e-13,8.032347e-25
rk4,53001,0.530010,1e-05,0.045,4,1.665335e-15,9.021963e-13,8.139582e-25
rk4,54001,0.540010,1e-05,0.076,4,1.998401e-15,9.082641e-13,8.249437e-25
rk4,55001,0.550010,1e-05,0.047,4,2.109424e-15,9.149162e-13,8.370717e-25
rk4,56001,0.560010,1e-05,0.042,4,1.665335e-15,9.217178e-13,8.495636e-25
rk4,57001,0.570010,1e-05,0.041,4,3.108624e-15,9.289278e-13,8.629068e-25
rk4,58001,0.580010,1e-05,0.074,4,2.997602e-15,9.364231e-13,8.768883e-25
rk4,59001,0.590010,1e-05,0.115,4,2.664535e-15,9.444076e-13,8.919057e-25
rk4,60001,0.600010,1e-05,0.042,4,2.997602e-15,9.527827e-13,9.077948e-25
rk4,61001,0.610010,1e-05,0.074,4,3.441691e-15,9.613171e-13,9.241305e-25
rk4,62001,0.620010,1e-05,0.058,4,3.219647e-15,9.703424e-13,9.415644e-25
rk4,63001,0.630010,1e-05,0.042,4,2.664535e-15,9.796784e-13,9.597699e-25
rk4,64001,0.640010,1e-05,0.049,4,4.551914e-15,9.890125e-13,9.781457e-25
rk4,65001,0.650010,1e-05,0.041,4,5.218048e-15,9.988611e-13,9.977235e-25
rk4,66001,0.660010,1e-05,0.042,4,2.553513e-15,1.008897e-12,1.017874e-24
rk4,67001,0.670010,1e-05,0.042,4,3.441691e-15,1.019191e-12,1.038751e-24
rk4,68001,0.680010,1e-05,0.115,4,3.663736e-15,1.029621e-12,1.060119e-24
