method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
rk4,1,0.000010,1e-05,0.146,4,4.440892e-16,1.035479e-15,1.072217e-30
rk4,1001,0.010010,1e-05,0.047,4,6.661338e-16,3.488724e-14,1.217119e-27
rk4,2001,0.020010,1e-05,0.072,4,6.661338e-16,6.579187e-14,4.328571e-27
rk4,3001,0.030010,1e-05,0.047,4,1.554312e-15,9.550831e-14,9.121838e-27
rk4,4001,0.040010,1e-05,0.047,4,1.776357e-15,9.363986e-14,8.768423e-27
rk4,5001,0.050010,1e-05,0.047,4,2.220446e-15,2.219717e-13,4.927145e-26
rk4,6001,0.060010,1e-05,0.047,4,3.108624e-15,3.660151e-13,1.339670e-25
rk4,7001,0.070010,1e-05,0.047,4,2.442491e-15,2.624986e-13,6.890553e-26
rk4,8001,0.080010,1e-05,0.047,4,1.998401e-15,1.259222e-13,1.585640e-26
rk4,9001,0.090010,1e-05,0.049,4,3.552714e-15,2.083997e-13,4.343043e-26
rk4,10001,0.100010,1e-05,0.077,4,2.664535e-15,3.901131e-13,1.521882e-25
rk4,11001,0.110010,1e-05,0.047,4,2.886580e-15,5.849196e-13,3.421310e-25
rk4,12001,0.120010,1e-05,0.077,4,3.996803e-15,7.832336e-13,6.134549e-25
rk4,13001,0.130010,1e-05,0.047,4,3.108624e-15,6.387119e-13,4.079529e-25
rk4,14001,0.140010,1e-05,0.073,4,3.552714e-15,1.943325e-13,3.776513e-26
rk4,15001,0.150010,1e-05,0.049,4,4.218847e-15,4.036909e-13,1.629663e-25
rk4,16001,0.160010,1e-05,0.075,4,5.329071e-15,8.844215e-13,7.822014e-25
rk4,17001,0.170010,1e-05,0.049,4,3.552714e-15,1.376451e-12,1.894617e-24
rk4,18001,0.180010,1e-05,0.111,4,4.218847e-15,1.870620e-12,3.499219e-24
rk4,19001,0.190010,1e-05,0.049,4,4.218847e-15,2.366050e-12,5.598193e-24
rk4,20001,0.200010,1e-05,0.047,4,2.442491e-15,2.861747e-12,8.189594e-24
rk4,21001,0.210010,1e-05,0.063,4,3.552714e-15,3.357683e-12,1.127404e-23
rk4,22001,0.220010,1e-05,0.071,4,3.996803e-15,3.853758e-12,1.485145e-23
rk4,23001,0.230010,1e-05,0.047,4,3.552714e-15,4.350545e-12,1.892724e-23
rk4,24001,0.240010,1e-05,0.055,4,3.552714e-15,4.847241e-12,2.349575e-23
rk4,25001,0.250010,1e-05,0.047,4,1.998401e-15,5.344648e-12,2.856526e-23
rk4,26001,0.260010,1e-05,0.048,4,3.774758e-15,5.842046e-12,3.412950e-23
rk4,27001,0.270010,1e-05,0.048,4,3.552714e-15,6.340015e-12,4.019578e-23
rk4,28001,0.280010,1e-05,0.060,4,3.330669e-15,6.838581e-12,4.676619e-23
rk4,29001,0.290010,1e-05,0.046,4,3.774758e-15,7.337238e-12,5.383506e-23
rk4,30001,0.300010,1e-05,0.054,4,3.108624e-15,7.836570e-12,6.141183e-23
rk4,31001,0.310010,1e-05,0.060,4,4.440892e-15,8.335788e-12,6.948537e-23
rk4,32001,0.320010,1e-05,0.048,4,4.218847e-15,8.835288e-12,7.806232e-23
rk4,33001,0.330010,1e-05,0.047,4,4.884981e-15,9.335494e-12,8.715145e-23
rk4,34001,0.340010,1e-05,0.047,4,4.662937e-15,9.836022e-12,9.674732e-23
rk4,35001,0.350010,1e-05,0.047,4,4.218847e-15,1.033670e-11,1.068474e-22
rk4,36001,0.360010,1e-05,0.047,4,3.996803e-15,1.083730e-11,1.174472e-22
rk4,37001,0.370010,1e-05,0.048,4,3.552714e-15,1.133855e-11,1.285627e-22
rk4,38001,0.380010,1e-05,0.047,4,4.218847e-15,1.184004e-11,1.401866e-22
rk4,39001,0.390010,1e-05,0.047,4,3.552714e-15,1.234211e-11,1.523277e-22
rk4,40001,0.400010,1e-05,0.063,4,3.996803e-15,1.284400e-11,1.649683e-22
rk4,41001,0.410010,1e-05,0.046,4,4.662937e-15,1.334668e-11,1.781338e-22
rk4,42001,0.420010,1e-05,0.047,4,2.886580e-15,1.384903e-11,1.917958e-22
rk4,43001,0.430010,1e-05,0.049,4,3.108624e-15,1.435135e-11,2.059612e-22
rk4,44001,0.440010,1e-05,0.079,4,3.552714e-15,1.485497e-11,2.206702e-22
rk4,45001,0.450010,1e-05,0.049,4,1.998401e-15,1.535789e-11,2.358647e-22
rk4,46001,0.460010,1e-05,0.049,4,3.552714e-15,1.586146e-11,2.515858e-22
