method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
rk4,1,0.000010,1e-05,0.187,4,2.220446e-16,6.799575e-16,4.623423e-31
rk4,10001,0.100010,1e-05,0.039,4,2.220446e-16,1.536003e-13,2.359304e-26
rk4,20001,0.200010,1e-05,0.036,4,1.665335e-15,2.818505e-13,7.943969e-26
rk4,30001,0.300010,1e-05,0.085,4,2.775558e-15,5.951586e-13,3.542138e-25
rk4,40001,0.400010,1e-05,0.035,4,2.109424e-15,9.337595e-13,8.719069e-25
rk4,50001,0.500010,1e-05,0.036,4,2.775558e-15,1.281042e-12,1.641070e-24
rk4,60001,0.600010,1e-05,0.053,4,1.221245e-15,6.178293e-13,3.817130e-25
rk4,70001,0.700010,1e-05,0.034,4,7.771561e-16,2.067252e-12,4.273529e-24
rk4,80001,0.800010,1e-05,0.044,4,2.109424e-15,3.646314e-12,1.329561e-23
rk4,90001,0.900010,1e-05,0.046,4,2.775558e-15,5.237063e-12,2.742683e-23
rk4,100000,1.000000,1e-05,0.051,4,5.551115e-16,6.830460e-12,4.665518e-23
