method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.000010,1e-05,0.161,4,2.220446e-16,1.253642e-15,1.571617e-30
taylor,15001,0.150010,1e-05,0.076,4,2.731149e-14,4.198724e-13,1.762928e-25
taylor,30001,0.300010,1e-05,0.080,4,3.541611e-14,7.873758e-12,6.199607e-23
taylor,45001,0.450010,1e-05,0.073,4,2.431388e-14,1.539839e-11,2.371105e-22
taylor,60001,0.600010,1e-05,0.088,4,3.730349e-14,5.142834e-12,2.644875e-23
taylor,75001,0.750010,1e-05,0.080,4,3.441691e-14,3.952298e-11,1.562066e-21
taylor,90001,0.900010,1e-05,0.077,4,3.153033e-14,7.384379e-11,5.452905e-21
taylor,105001,1.050010,1e-05,0.077,4,4.218847e-14,8.011786e-11,6.418871e-21
taylor,120001,1.200010,1e-05,0.089,4,3.652634e-14,3.033890e-11,9.204488e-22
taylor,135001,1.350010,1e-05,0.081,4,3.919087e-14,1.941746e-11,3.770378e-22
taylor,150001,1.500010,1e-05,0.076,4,4.085621e-14,6.912603e-11,4.778408e-21
taylor,165001,1.650010,1e-05,0.080,4,3.952394e-14,1.188342e-10,1.412158e-20
taylor,180001,1.800010,1e-05,0.080,4,4.085621e-14,1.686576e-10,2.844540e-20
taylor,195001,1.950010,1e-05,0.082,4,4.363176e-14,2.184746e-10,4.773116e-20
taylor,210001,2.100010,1e-05,0.040,4,5.095924e-14,2.682412e-10,7.195333e-20
taylor,225001,2.250010,1e-05,0.077,4,6.450396e-14,3.180250e-10,1.011399e-19
taylor,240001,2.400010,1e-05,0.080,4,6.949996e-14,3.677628e-10,1.352495e-19
taylor,255001,2.550010,1e-05,0.071,4,7.582823e-14,4.174906e-10,1.742984e-19
taylor,270001,2.700010,1e-05,0.082,4,6.794565e-14,4.672262e-10,2.183003e-19
taylor,285001,2.850010,1e-05,0.044,4,6.994405e-14,5.170055e-10,2.672947e-19
taylor,300001,3.000010,1e-05,0.085,4,7.016610e-14,5.668159e-10,3.212802e-19
taylor,315001,3.150010,1e-05,0.084,4,6.861178e-14,6.166419e-10,3.802473e-19
taylor,330001,3.300010,1e-05,0.070,4,7.260859e-14,6.664398e-10,4.441421e-19
taylor,345001,3.450010,1e-05,0.077,4,6.761258e-14,7.161965e-10,5.129374e-19
taylor,360001,3.600010,1e-05,0.078,4,7.782663e-14,7.659002e-10,5.866032e-19
taylor,375001,3.750010,1e-05,0.078,4,7.072121e-14,8.155633e-10,6.651435e-19
taylor,390001,3.900010,1e-05,0.081,4,7.371881e-14,8.652272e-10,7.486181e-19
taylor,405001,4.050010,1e-05,0.082,4,7.405188e-14,8.025781e-10,6.441317e-19
taylor,420001,4.200010,1e-05,0.078,4,5.984102e-14,5.154132e-10,2.656508e-19
taylor,435001,4.350010,1e-05,0.074,4,7.471801e-14,2.282559e-10,5.210077e-20
taylor,450001,4.500010,1e-05,0.082,4,7.183143e-14,5.891584e-11,3.471077e-21
taylor,465001,4.650010,1e-05,0.078,4,6.339373e-14,3.460080e-10,1.197216e-19
taylor,480001,4.800010,1e-05,0.082,4,8.237855e-14,6.330868e-10,4.007989e-19
taylor,495001,4.950010,1e-05,0.086,4,8.293366e-14,9.201685e-10,8.467100e-19
taylor,510001,5.100010,1e-05,0.092,4,8.026912e-14,1.207284e-09,1.457536e-18
taylor,525001,5.250010,1e-05,0.095,4,7.738254e-14,1.494425e-09,2.233307e-18
taylor,540001,5.400010,1e-05,0.089,4,8.060219e-14,1.781580e-09,3.174029e-18
taylor,555001,5.550010,1e-05,0.080,4,8.182344e-14,2.068773e-09,4.279822e-18
taylor,570001,5.700010,1e-05,0.082,4,8.126833e-14,2.355981e-09,5.550648e-18
taylor,585001,5.850010,1e-05,0.043,4,7.960299e-14,2.643182e-09,6.986411e-18
taylor,600001,6.000010,1e-05,0.078,4,8.637535e-14,2.930411e-09,8.587307e-18
taylor,615001,6.150010,1e-05,0.041,4,7.638334e-14,3.217633e-09,1.035317e-17
taylor,630001,6.300010,1e-05,0.079,4,7.571721e-14,3.504831e-09,1.228384e-17
taylor,645001,6.450010,1e-05,0.081,4,6.827872e-14,3.792007e-09,1.437932e-17
taylor,660001,6.600010,1e-05,0.083,4,6.972201e-14,4.079167e-09,1.663961e-17
taylor,675001,6.750010,1e-05,0.046,4,7.127632e-14,4.366308e-09,1.906464e-17
taylor,690001,6.900010,1e-05,0.087,4,6.794565e-14,4.653445e-09,2.165455e-17
taylor,705001,7.050010,1e-05,0.048,4,6.572520e-14,4.940583e-09,2.440936e-17
taylor,720001,7.200010,1e-05,0.152,4,6.217249e-14,5.227714e-09,2.732899e-17
taylor,735001,7.350010,1e-05,0.083,4,6.139533e-14,5.514841e-09,3.041347e-17
taylor,750001,7.500010,1e-05,0.087,4,7.216450e-14,5.801978e-09,3.366295e-17
taylor,765001,7.650010,1e-05,0.046,4,6.539214e-14,6.089117e-09,3.707734e-17
taylor,780001,7.800010,1e-05,0.086,4,6.095124e-14,6.376265e-09,4.065676e-17
taylor,795001,7.950010,1e-05,0.087,4,6.927792e-14,6.663423e-09,4.440121e-17
taylor,810001,8.100010,1e-05,0.091,4,6.472600e-14,6.950571e-09,4.831043e-17
taylor,825001,8.250010,1e-05,0.080,4,6.106227e-14,7.237712e-09,5.238447e-17
taylor,840001,8.400010,1e-05,0.086,4,6.050715e-14,7.524852e-09,5.662339e-17
taylor,855001,8.550010,1e-05,0.085,4,5.739853e-14,7.811978e-09,6.102699e-17
taylor,870001,8.700010,1e-05,0.085,4,5.684342e-14,8.099099e-09,6.559540e-17
taylor,885001,8.850010,1e-05,0.074,4,5.451195e-14,8.386206e-09,7.032845e-17
taylor,900001,9.000010,1e-05,0.082,4,5.240253e-14,8.673280e-09,7.522579e-17
taylor,915001,9.150010,1e-05,0.073,4,5.284662e-14,8.960362e-09,8.028808e-17
taylor,930001,9.300010,1e-05,0.085,4,4.873879e-14,9.247435e-09,8.551505e-17
taylor,945001,9.450010,1e-05,0.082,4,5.195844e-14,9.534518e-09,9.090703e-17
taylor,960001,9.600010,1e-05,0.085,4,5.340173e-14,9.821612e-09,9.646407e-17
taylor,975001,9.750010,1e-05,0.045,4,5.428991e-14,1.010875e-08,1.021869e-16
taylor,990001,9.900010,1e-05,0.087,4,5.140333e-14,1.039587e-08,1.080741e-16
taylor,1005001,10.050010,1e-05,0.097,4,4.463097e-14,1.068300e-08,1.141265e-16
taylor,1020001,10.200010,1e-05,0.081,4,4.463097e-14,1.097012e-08,1.203436e-16
taylor,1035001,10.350010,1e-05,0.082,4,4.407585e-14,1.125713e-08,1.267230e-16
taylor,1050001,10.500010,1e-05,0.082,4,4.318768e-14,1.154423e-08,1.332693e-16
taylor,1065001,10.650010,1e-05,0.094,4,4.174439e-14,1.183132e-08,1.399801e-16
taylor,1080001,10.800010,1e-05,0.075,4,4.107825e-14,1.211842e-08,1.468560e-16
taylor,1095001,10.950010,1e-05,0.083,4,4.485301e-14,1.240554e-08,1.538975e-16
taylor,1110001,11.100010,1e-05,0.084,4,5.340173e-14,1.269269e-08,1.611045e-16
taylor,1125001,11.250010,1e-05,0.082,4,4.962697e-14,1.297982e-08,1.684757e-16
taylor,1140001,11.400010,1e-05,0.082,4,4.285461e-14,1.326694e-08,1.760116e-16
taylor,1155001,11.550010,1e-05,0.083,4,3.719247e-14,1.355406e-08,1.837126e-16
taylor,1170001,11.700010,1e-05,0.084,4,3.863576e-14,1.384120e-08,1.915788e-16
taylor,1185001,11.850010,1e-05,0.084,4,3.907985e-14,1.412834e-08,1.996099e-16
taylor,1200001,12.000010,1e-05,0.043,4,3.874678e-14,1.441545e-08,2.078052e-16
taylor,1215001,12.150010,1e-05,0.086,4,4.418688e-14,1.470260e-08,2.161664e-16
taylor,1230001,12.300010,1e-05,0.043,4,4.118927e-14,1.498972e-08,2.246917e-16
taylor,1245001,12.450010,1e-05,0.042,4,4.252154e-14,1.527684e-08,2.333820e-16
taylor,1260001,12.600010,1e-05,0.083,4,4.385381e-14,1.556398e-08,2.422376e-16
taylor,1275001,12.750010,1e-05,0.079,4,4.463097e-14,1.585112e-08,2.512579e-16
taylor,1290001,12.900010,1e-05,0.078,4,4.363176e-14,1.613829e-08,2.604443e-16
taylor,1305001,13.050010,1e-05,0.080,4,4.007905e-14,1.642544e-08,2.697952e-16
taylor,1320001,13.200010,1e-05,0.079,4,3.719247e-14,1.671261e-08,2.793113e-16
taylor,1335001,13.350010,1e-05,0.078,4,3.952394e-14,1.699976e-08,2.889918e-16
taylor,1350001,13.500010,1e-05,0.089,4,4.329870e-14,1.728693e-08,2.988378e-16
taylor,1365001,13.650010,1e-05,0.075,4,4.474199e-14,1.757404e-08,3.088468e-16
taylor,1380001,13.800010,1e-05,0.096,4,4.440892e-14,1.786121e-08,3.190228e-16
taylor,1395001,13.950010,1e-05,0.088,4,4.929390e-14,1.814840e-08,3.293644e-16
taylor,1410001,14.100010,1e-05,0.048,4,4.918288e-14,1.843557e-08,3.398702e-16
taylor,1425001,14.250010,1e-05,0.092,4,4.984901e-14,1.872276e-08,3.505418e-16
taylor,1440001,14.400010,1e-05,0.086,4,5.684342e-14,1.900996e-08,3.613788e-16
taylor,1455001,14.550010,1e-05,0.091,4,5.029310e-14,1.929716e-08,3.723804e-16
taylor,1470001,14.700010,1e-05,0.046,4,5.528911e-14,1.958429e-08,3.835446e-16
taylor,1485001,14.850010,1e-05,0.042,4,5.584422e-14,1.987146e-08,3.948750e-16
taylor,1500000,15.000000,1e-05,0.087,4,5.673240e-14,2.015860e-08,4.063690e-16
