method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.000001,1e-06,0.156,5,5.551115e-16,6.170295e-16,3.807255e-31
taylor,100001,0.100001,1e-06,0.113,5,2.061018e-12,1.471064e-12,2.164030e-24
taylor,200001,0.200001,1e-06,0.098,5,5.583756e-12,3.257184e-12,1.060925e-23
taylor,300001,0.300001,1e-06,0.099,5,7.501000e-12,6.470806e-12,4.187133e-23
taylor,400001,0.400001,1e-06,0.105,5,9.468648e-12,1.536702e-11,2.361452e-22
taylor,500001,0.500001,1e-06,0.165,5,1.074674e-11,2.458648e-11,6.044948e-22
taylor,600001,0.600001,1e-06,0.145,5,1.164679e-11,1.525184e-11,2.326187e-22
taylor,700001,0.700001,1e-06,0.177,5,1.254463e-11,8.390501e-12,7.040051e-23
taylor,800001,0.800001,1e-06,0.111,5,1.341049e-11,1.041271e-11,1.084245e-22
taylor,900001,0.900001,1e-06,0.110,5,1.423395e-11,1.847044e-11,3.411570e-22
taylor,1000001,1.000001,1e-06,0.147,5,1.499090e-11,2.769180e-11,7.668360e-22
taylor,1100001,1.100001,1e-06,0.170,5,1.566591e-11,1.043147e-11,1.088155e-22
taylor,1200001,1.200001,1e-06,0.116,5,1.628686e-11,3.410226e-11,1.162964e-21
taylor,1300001,1.300001,1e-06,0.116,5,1.676903e-11,6.262078e-11,3.921363e-21
taylor,1400001,1.400001,1e-06,0.134,5,1.721068e-11,9.158402e-11,8.387632e-21
taylor,1500001,1.500001,1e-06,0.115,5,1.758693e-11,1.206340e-10,1.455257e-20
taylor,1600001,1.600001,1e-06,0.107,5,1.796741e-11,1.497577e-10,2.242736e-20
taylor,1700001,1.700001,1e-06,0.196,5,1.831024e-11,1.789122e-10,3.200956e-20
taylor,1800001,1.800001,1e-06,0.132,5,1.864531e-11,2.081109e-10,4.331014e-20
taylor,1900001,1.900001,1e-06,0.163,5,1.897249e-11,2.373213e-10,5.632138e-20
taylor,2000001,2.000001,1e-06,0.079,5,1.925882e-11,2.665743e-10,7.106186e-20
taylor,2100001,2.100001,1e-06,0.287,5,1.953593e-11,2.175781e-10,4.734025e-20
taylor,2200001,2.200001,1e-06,0.128,5,1.981471e-11,1.686408e-10,2.843973e-20
taylor,2300001,2.300001,1e-06,0.109,5,2.011169e-11,1.198580e-10,1.436594e-20
taylor,2400001,2.400001,1e-06,0.163,5,2.037770e-11,7.142625e-11,5.101709e-21
taylor,2500001,2.500001,1e-06,0.183,5,2.064438e-11,2.537379e-11,6.438293e-22
taylor,2600001,2.600001,1e-06,0.171,5,2.087053e-11,3.135273e-11,9.829936e-22
