method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.001000,0.001,0.150,5,5.642153e-11,3.831725e-11,1.468212e-21
taylor,11,0.011000,0.001,0.090,5,6.206280e-10,4.214880e-10,1.776521e-19
taylor,21,0.021000,0.001,0.104,5,1.184834e-09,8.046590e-10,6.474762e-19
taylor,31,0.031000,0.001,0.110,5,1.749039e-09,1.187830e-09,1.410940e-18
taylor,41,0.041000,0.001,0.125,5,2.313246e-09,1.571001e-09,2.468045e-18
taylor,51,0.051000,0.001,0.104,5,2.877452e-09,1.954173e-09,3.818790e-18
taylor,61,0.061000,0.001,0.110,5,3.441656e-09,2.337344e-09,5.463178e-18
taylor,71,0.071000,0.001,0.095,5,4.005862e-09,2.720516e-09,7.401207e-18
taylor,81,0.081000,0.001,0.109,5,4.570071e-09,3.103688e-09,9.632882e-18
taylor,91,0.091000,0.001,0.104,5,5.134276e-09,3.486861e-09,1.215820e-17
taylor,101,0.101000,0.001,0.114,5,5.698482e-09,3.870033e-09,1.497716e-17
taylor,111,0.111000,0.001,0.104,5,6.262687e-09,4.253206e-09,1.808976e-17
taylor,121,0.121000,0.001,0.124,5,6.826893e-09,4.636379e-09,2.149601e-17
taylor,131,0.131000,0.001,0.103,5,7.391098e-09,5.019552e-09,2.519590e-17
taylor,141,0.141000,0.001,0.113,5,7.955305e-09,5.402725e-09,2.918944e-17
taylor,151,0.151000,0.001,0.104,5,8.519512e-09,5.785898e-09,3.347661e-17
taylor,161,0.161000,0.001,0.114,5,9.083718e-09,6.169070e-09,3.805742e-17
taylor,171,0.171000,0.001,0.104,5,9.647923e-09,6.552242e-09,4.293187e-17
taylor,181,0.181000,0.001,0.109,5,1.021213e-08,6.935413e-09,4.809995e-17
taylor,191,0.191000,0.001,0.108,5,1.077634e-08,7.318583e-09,5.356166e-17
taylor,201,0.201000,0.001,0.104,5,1.134054e-08,7.701753e-09,5.931700e-17
taylor,211,0.211000,0.001,0.294,5,1.190475e-08,8.084922e-09,6.536596e-17
taylor,221,0.221000,0.001,0.107,5,1.246895e-08,8.468090e-09,7.170856e-17
taylor,231,0.231000,0.001,0.105,5,1.303316e-08,8.851258e-09,7.834477e-17
taylor,241,0.241000,0.001,0.109,5,1.359737e-08,9.234426e-09,8.527462e-17
taylor,251,0.251000,0.001,0.106,5,1.416157e-08,9.617593e-09,9.249810e-17
taylor,261,0.261000,0.001,0.118,5,1.472578e-08,1.000076e-08,1.000152e-16
taylor,271,0.271000,0.001,0.110,5,1.528998e-08,1.038393e-08,1.078260e-16
taylor,281,0.281000,0.001,0.103,5,1.585419e-08,1.076710e-08,1.159304e-16
taylor,291,0.291000,0.001,0.107,5,1.641840e-08,1.115026e-08,1.243284e-16
taylor,301,0.301000,0.001,0.327,5,1.698260e-08,1.153343e-08,1.330200e-16
taylor,311,0.311000,0.001,0.103,5,1.754681e-08,1.191660e-08,1.420053e-16
taylor,321,0.321000,0.001,0.116,5,1.811101e-08,1.229977e-08,1.512843e-16
