method,step,t,dt,dt_ms,matvecs,norm_err,theta_abs,theta_rel
taylor,1,0.000010,1e-05,0.085,4,4.440892e-16,5.569705e-16,3.102161e-31
taylor,10001,0.100010,1e-05,0.024,4,1.187939e-14,9.518053e-14,9.059333e-27
taylor,20001,0.200010,1e-05,0.024,4,2.686740e-14,3.105490e-13,9.644066e-26
taylor,30001,0.300010,1e-05,0.024,4,4.596323e-14,6.911004e-13,4.776198e-25
taylor,40001,0.400010,1e-05,0.028,4,5.373479e-14,1.059959e-12,1.123514e-24
taylor,50001,0.500010,1e-05,0.031,4,6.949996e-14,1.423318e-12,2.025834e-24
taylor,60001,0.600010,1e-05,0.031,4,9.248158e-14,4.327684e-13,1.872885e-25
taylor,70001,0.700010,1e-05,0.032,4,8.670842e-14,1.880206e-12,3.535175e-24
taylor,80001,0.800010,1e-05,0.051,4,8.248957e-14,3.479787e-12,1.210891e-23
taylor,90001,0.900010,1e-05,0.033,4,1.078027e-13,5.093916e-12,2.594798e-23
taylor,100000,1.000000,1e-05,0.032,4,1.316725e-13,6.712992e-12,4.506426e-23
